plan_index,chunk_id,ticker,yahoo_symbol,security_type,exchange,is_active,company_name,financial_status
0,0,A,A,COMMON_STOCK,NYSE,True,"Agilent Technologies, Inc. Common Stock",
1,0,AA,AA,COMMON_STOCK,NYSE,True,Alcoa Corporation Common Stock,
2,0,AACI,AACI,COMMON_STOCK,NASDAQ,True,Armada Acquisition Corp. III - Class A Ordinary Share,N
3,0,AACO,AACO,COMMON_STOCK,NASDAQ,True,Abony Acquisition Corp. I - Class A Ordinary Share,N
4,0,AACP,AACP,COMMON_STOCK,NASDAQ,True,Apogee Acquisition Corp - Class A Ordinary Shares,N
5,0,AADX,AADX,COMMON_STOCK,NYSE,True,"Applied Aerospace & Defense, Inc. Common Stock",
6,0,AAL,AAL,COMMON_STOCK,NASDAQ,True,"American Airlines Group, Inc. - Common Stock",N
7,0,AAMI,AAMI,COMMON_STOCK,NYSE,True,Acadian Asset Management Inc. Common Stock,
8,0,AAOI,AAOI,COMMON_STOCK,NASDAQ,True,"Applied Optoelectronics, Inc. - Common Stock",N
9,0,AAON,AAON,COMMON_STOCK,NASDAQ,True,"AAON, Inc. - Common Stock",N
10,0,AAP,AAP,COMMON_STOCK,NYSE,True,Advance Auto Parts Inc.,
11,0,AAPG,AAPG,COMMON_STOCK,NASDAQ,True,Ascentage Pharma Group International - American Depository Shares,N
12,0,AAPL,AAPL,COMMON_STOCK,NASDAQ,True,Apple Inc. - Common Stock,N
13,0,AARD,AARD,COMMON_STOCK,NASDAQ,True,"Aardvark Therapeutics, Inc. - Common Stock",N
14,0,AAT,AAT,COMMON_STOCK,NYSE,True,"American Assets Trust, Inc. Common Stock",
15,0,AAUC,AAUC,COMMON_STOCK,NYSE,True,Allied Gold Corporation Common Shares,
16,0,ABAT,ABAT,COMMON_STOCK,NASDAQ,True,American Battery Technology Company - Common Stock,N
17,0,ABBV,ABBV,COMMON_STOCK,NYSE,True,AbbVie Inc. Common Stock,
18,0,ABCB,ABCB,COMMON_STOCK,NYSE,True,Ameris Bancorp Common Stock,
19,0,ABCL,ABCL,COMMON_STOCK,NASDAQ,True,AbCellera Biologics Inc. - Common Shares,N
20,0,ABEO,ABEO,COMMON_STOCK,NASDAQ,True,Abeona Therapeutics Inc. - Common Stock,N
21,0,ABG,ABG,COMMON_STOCK,NYSE,True,Asbury Automotive Group Inc Common Stock,
22,0,ABLV,ABLV,COMMON_STOCK,NASDAQ,True,Able View Global Inc. - Class B Ordinary Shares,N
23,0,ABM,ABM,COMMON_STOCK,NYSE,True,ABM Industries Incorporated Common Stock,
24,0,ABNB,ABNB,COMMON_STOCK,NASDAQ,True,"Airbnb, Inc. - Class A Common Stock",N
25,0,ABOS,ABOS,COMMON_STOCK,NASDAQ,True,"Acumen Pharmaceuticals, Inc. - Common Stock",N
26,0,ABR,ABR,COMMON_STOCK,NYSE,True,Arbor Realty Trust Common Stock,
27,0,ABSI,ABSI,COMMON_STOCK,NASDAQ,True,Absci Corporation - Common Stock,N
28,0,ABT,ABT,COMMON_STOCK,NYSE,True,Abbott Laboratories Common Stock,
29,0,ABTC,ABTC,COMMON_STOCK,NASDAQ,True,American Bitcoin Corp. - Class A Common Stock,N
30,0,ABTS,ABTS,COMMON_STOCK,NASDAQ,True,Abits Group Inc - Ordinary Shares,N
31,0,ABUS,ABUS,COMMON_STOCK,NASDAQ,True,Arbutus Biopharma Corporation - Common Stock,N
32,0,ABVC,ABVC,COMMON_STOCK,NASDAQ,True,"ABVC BioPharma, Inc. - Common Stock",N
33,0,ABX,ABX,COMMON_STOCK,NYSE,True,"Abacus Global Management, Inc. Class A Common Stock",
34,0,ACA,ACA,COMMON_STOCK,NYSE,True,"Arcosa, Inc. Common Stock",
35,0,ACAA,ACAA,COMMON_STOCK,NASDAQ,True,Averin Capital Acquisition Corp. - Class A Ordinary Shares,N
36,0,ACAD,ACAD,COMMON_STOCK,NASDAQ,True,ACADIA Pharmaceuticals Inc. - Common Stock,N
37,0,ACB,ACB,COMMON_STOCK,NASDAQ,True,Aurora Cannabis Inc. - Common Shares,N
38,0,ACCL,ACCL,COMMON_STOCK,NASDAQ,True,Acco Group Holdings Limited - Class A Ordinary Shares,N
39,0,ACCO,ACCO,COMMON_STOCK,NYSE,True,Acco Brands Corporation Common Stock,
40,0,ACCS,ACCS,COMMON_STOCK,NYSEAMERICAN,True,ACCESS Newswire Inc. Common Stock,
41,0,ACDC,ACDC,COMMON_STOCK,NASDAQ,True,ProFrac Holding Corp. - Class A Common Stock,N
42,0,ACEL,ACEL,COMMON_STOCK,NYSE,True,"Accel Entertainment, Inc.",
43,0,ACET,ACET,COMMON_STOCK,NASDAQ,True,"Adicet Bio, Inc. - Common Stock",N
44,0,ACFN,ACFN,COMMON_STOCK,NASDAQ,True,"Acorn Energy, Inc. - Common Stock",N
45,0,ACGC,ACGC,COMMON_STOCK,NASDAQ,True,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,N
46,0,ACGL,ACGL,COMMON_STOCK,NASDAQ,True,Arch Capital Group Ltd. - Common Stock,N
47,0,ACH,ACH,COMMON_STOCK,NYSE,True,"Accendra Health, Inc. Common Stock",
48,0,ACHC,ACHC,COMMON_STOCK,NASDAQ,True,"Acadia Healthcare Company, Inc. - Common Stock",N
49,0,ACHR,ACHR,COMMON_STOCK,NYSE,True,Archer Aviation Inc. Class A Common Stock,
50,0,ACHV,ACHV,COMMON_STOCK,NASDAQ,True,"Achieve Life Sciences, Inc.  - Common Shares",N
51,0,ACI,ACI,COMMON_STOCK,NYSE,True,"Albertsons Companies, Inc. Class A Common Stock",
52,0,ACIC,ACIC,COMMON_STOCK,NASDAQ,True,American Coastal Insurance Corporation - Common Stock,N
53,0,ACIU,ACIU,COMMON_STOCK,NASDAQ,True,AC Immune SA - Common Stock,N
54,0,ACIW,ACIW,COMMON_STOCK,NASDAQ,True,"ACI Worldwide, Inc. - Common Stock",N
55,0,ACLS,ACLS,COMMON_STOCK,NASDAQ,True,"Axcelis Technologies, Inc. - Common Stock",N
56,0,ACM,ACM,COMMON_STOCK,NYSE,True,AECOM Common Stock,
57,0,ACMR,ACMR,COMMON_STOCK,NASDAQ,True,"ACM Research, Inc. - Class A Common Stock",N
58,0,ACN,ACN,COMMON_STOCK,NYSE,True,Accenture plc Class A Ordinary Shares (Ireland),
59,0,ACNB,ACNB,COMMON_STOCK,NASDAQ,True,ACNB Corporation - Common Stock,N
60,0,ACNT,ACNT,COMMON_STOCK,NASDAQ,True,Ascent Industries Co. - Common Stock,N
61,0,ACOG,ACOG,COMMON_STOCK,NASDAQ,True,Alpha Cognition Inc. - Common Stock,N
62,0,ACON,ACON,COMMON_STOCK,NASDAQ,True,"Aclarion, Inc. - Common Stock",N
63,0,ACR,ACR,COMMON_STOCK,NYSE,True,ACRES Commercial Realty Corp. Common Stock,
64,0,ACRE,ACRE,COMMON_STOCK,NYSE,True,Ares Commercial Real Estate Corporation Common Stock,
65,0,ACRS,ACRS,COMMON_STOCK,NASDAQ,True,"Aclaris Therapeutics, Inc. - Common Stock",N
66,0,ACRV,ACRV,COMMON_STOCK,NASDAQ,True,"Acrivon Therapeutics, Inc. - Common Stock",N
67,0,ACT,ACT,COMMON_STOCK,NASDAQ,True,"Enact Holdings, Inc. - Common Stock",N
68,0,ACTG,ACTG,COMMON_STOCK,NASDAQ,True,Acacia Research Corporation - Common Stock,N
69,0,ACTU,ACTU,COMMON_STOCK,NASDAQ,True,"Actuate Therapeutics, Inc. - Common stock",N
70,0,ACVA,ACVA,COMMON_STOCK,NYSE,True,ACV Auctions Inc. Class A Common Stock,
71,0,ACXP,ACXP,COMMON_STOCK,NASDAQ,True,"Acurx Pharmaceuticals, Inc. - Common Stock",N
72,0,AD,AD,COMMON_STOCK,NYSE,True,"Array Digital Infrastructure, Inc. Common Shares",
73,0,ADAC,ADAC,COMMON_STOCK,NASDAQ,True,American Drive Acquisition Company - Class A Ordinary Shares,N
74,0,ADAG,ADAG,COMMON_STOCK,NASDAQ,True,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",N
75,0,ADAM,ADAM,COMMON_STOCK,NASDAQ,True,"Adamas Trust, Inc. - Common Stock",N
76,0,ADBE,ADBE,COMMON_STOCK,NASDAQ,True,Adobe Inc. - Common Stock,N
77,0,ADC,ADC,COMMON_STOCK,NYSE,True,Agree Realty Corporation Common Stock,
78,0,ADCT,ADCT,COMMON_STOCK,NYSE,True,ADC Therapeutics SA Common Shares,
79,0,ADEA,ADEA,COMMON_STOCK,NASDAQ,True,Adeia Inc.  - Common Stock,N
80,0,ADI,ADI,COMMON_STOCK,NASDAQ,True,"Analog Devices, Inc. - Common Stock",N
81,0,ADIL,ADIL,COMMON_STOCK,NASDAQ,True,"Adial Pharmaceuticals, Inc - Common Stock",N
82,0,ADM,ADM,COMMON_STOCK,NYSE,True,Archer-Daniels-Midland Company Common Stock,
83,0,ADMA,ADMA,COMMON_STOCK,NASDAQ,True,ADMA Biologics Inc - Common Stock,N
84,0,ADNT,ADNT,COMMON_STOCK,NYSE,True,Adient plc Ordinary Shares,
85,0,ADP,ADP,COMMON_STOCK,NASDAQ,True,"Automatic Data Processing, Inc. - Common Stock",N
86,0,ADPT,ADPT,COMMON_STOCK,NASDAQ,True,Adaptive Biotechnologies Corporation - Common Stock,N
87,0,ADSE,ADSE,COMMON_STOCK,NASDAQ,True,ADS-TEC ENERGY PLC - Ordinary Shares,N
88,0,ADSK,ADSK,COMMON_STOCK,NASDAQ,True,"Autodesk, Inc. - Common Stock",N
89,0,ADT,ADT,COMMON_STOCK,NYSE,True,ADT Inc. Common Stock,
90,0,ADTN,ADTN,COMMON_STOCK,NASDAQ,True,"ADTRAN Holdings, Inc. - Common Stock",N
91,0,ADUR,ADUR,COMMON_STOCK,NASDAQ,True,Aduro Clean Technologies Inc. - Common Stock,N
92,0,ADUS,ADUS,COMMON_STOCK,NASDAQ,True,Addus HomeCare Corporation - Common Stock,N
93,0,ADV,ADV,COMMON_STOCK,NASDAQ,True,Advantage Solutions Inc.  - Class A Common Stock,N
94,0,ADVB,ADVB,COMMON_STOCK,NASDAQ,True,Advanced Biomed Inc. - Common Stock,N
95,0,AEAQ,AEAQ,COMMON_STOCK,NASDAQ,True,Activate Energy Acquisition Corp. - Class A Ordinary Share,N
96,0,AEBI,AEBI,COMMON_STOCK,NASDAQ,True,Aebi Schmidt Holding AG - Common Stock,N
97,0,AEC,AEC,COMMON_STOCK,NASDAQ,True,Anfield Energy Inc. - Common Shares,N
98,0,AEE,AEE,COMMON_STOCK,NYSE,True,Ameren Corporation Common Stock,
99,0,AEG,AEG,COMMON_STOCK,NYSE,True,Aegon Ltd. New York Registry Shares,
