ticker,sector
AAPL,Unknown
ABBV,Unknown
ABNB,Unknown
ADBE,Unknown
ADI,Unknown
AEP,Unknown
ALB,Unknown
AMD,Unknown
AMGN,Unknown
AMT,Unknown
AMZN,Unknown
ANET,Unknown
APD,Unknown
AVGO,Unknown
AXP,Unknown
BAC,Unknown
BKNG,Unknown
BLK,Unknown
BMY,Unknown
C,Unknown
CAT,Unknown
CCI,Unknown
CDNS,Unknown
CHTR,Unknown
CMCSA,Unknown
CMG,Unknown
COIN,Unknown
COP,Unknown
COST,Unknown
CRM,Unknown
CRWD,Unknown
CSCO,Unknown
CVX,Unknown
D,Unknown
DAL,Unknown
DD,Unknown
DE,Unknown
DHR,Unknown
DIS,Unknown
DUK,Unknown
EA,Unknown
ECL,Unknown
ED,Unknown
EMR,Unknown
EOG,Unknown
EQIX,Unknown
ETN,Unknown
EXC,Unknown
FCX,Unknown
FTNT,Unknown
GE,Unknown
GILD,Unknown
GIS,Unknown
GOOG,Unknown
GOOGL,Unknown
GS,Unknown
HAL,Unknown
HD,Unknown
HON,Unknown
IBM,Unknown
INTC,Unknown
INTU,Unknown
ISRG,Unknown
JNJ,Unknown
JPM,Unknown
KHC,Unknown
KLAC,Unknown
KO,Unknown
LIN,Unknown
LLY,Unknown
LMT,Unknown
LOW,Unknown
MAR,Unknown
MCD,Unknown
MDB,Unknown
MDLZ,Unknown
MELI,Unknown
META,Unknown
MLM,Unknown
MPC,Unknown
MRK,Unknown
MS,Unknown
MSFT,Unknown
MU,Unknown
NEE,Unknown
NEM,Unknown
NET,Unknown
NFLX,Unknown
NKE,Unknown
NOW,Unknown
NVDA,Unknown
ORCL,Unknown
OXY,Unknown
PANW,Unknown
PEG,Unknown
PEP,Unknown
PFE,Unknown
PH,Unknown
PLD,Unknown
PSA,Unknown
PSX,Unknown
PYPL,Unknown
QCOM,Unknown
RCL,Unknown
REGN,Unknown
ROKU,Unknown
RTX,Unknown
SBUX,Unknown
SCHW,Unknown
SHOP,Unknown
SHW,Unknown
SLB,Unknown
SNPS,Unknown
SO,Unknown
SPOT,Unknown
SRE,Unknown
T,Unknown
TGT,Unknown
TJX,Unknown
TMO,Unknown
TMUS,Unknown
TT,Unknown
TTWO,Unknown
TXN,Unknown
UAL,Unknown
UBER,Unknown
UNH,Unknown
USB,Unknown
VLO,Unknown
VMC,Unknown
VRTX,Unknown
VZ,Unknown
WBD,Unknown
WFC,Unknown
WMT,Unknown
XEL,Unknown
XOM,Unknown
ZTS,Unknown
