rank_by_market_cap,ticker,yahoo_symbol,company_name,sector,industry,market_cap,currency,source,fetch_error,snapshot_date
1,NVDA,NVDA,NVIDIA Corporation,Technology,Semiconductors,4943990401733.398,USD,yfinance,,2026-07-08
2,AAPL,AAPL,Apple Inc.,Technology,Consumer Electronics,4602870711986.816,USD,yfinance,,2026-07-08
3,GOOGL,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,4416355430700.591,USD,yfinance,,2026-07-08
4,GOOG,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,4377184902833.556,USD,yfinance,,2026-07-08
5,MSFT,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,2847616132227.6196,USD,yfinance,,2026-07-08
6,AMZN,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2620646948273.3716,USD,yfinance,,2026-07-08
7,AVGO,AVGO,Broadcom Inc.,Technology,Semiconductors,1849223858775.8062,USD,yfinance,,2026-07-08
8,META,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1530973850713.835,USD,yfinance,,2026-07-08
9,LLY,LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,1084205914469.1252,USD,yfinance,,2026-07-08
10,MU,MU,"Micron Technology, Inc.",Technology,Semiconductors,1071568207882.2625,USD,yfinance,,2026-07-08
11,WMT,WMT,Walmart Inc.,Consumer Defensive,Discount Stores,900058740287.4349,USD,yfinance,,2026-07-08
12,JPM,JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,885900051935.6082,USD,yfinance,,2026-07-08
13,AMD,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,843680971393.2981,USD,yfinance,,2026-07-08
14,JNJ,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,634060935468.9136,USD,yfinance,,2026-07-08
15,XOM,XOM,ExxonMobil Holdings Corporation,Energy,Oil & Gas Integrated,584976413212.0598,USD,yfinance,,2026-07-08
16,INTC,INTC,Intel Corporation,Technology,Semiconductors,554066229263.3057,USD,yfinance,,2026-07-08
17,CSCO,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,448614092367.4696,USD,yfinance,,2026-07-08
18,ABBV,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,446539227284.8228,USD,yfinance,,2026-07-08
19,CAT,CAT,"Caterpillar, Inc.",Industrials,Farm & Heavy Construction Machinery,436678055114.085,USD,yfinance,,2026-07-08
20,COST,COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,422692954621.94385,USD,yfinance,,2026-07-08
21,BAC,BAC,Bank of America Corporation,Financial Services,Banks - Diversified,413731229539.031,USD,yfinance,,2026-07-08
22,ORCL,ORCL,Oracle Corporation,Technology,Software - Infrastructure,404677386612.8998,USD,yfinance,,2026-07-08
23,UNH,UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,386506263885.27356,USD,yfinance,,2026-07-08
24,GE,GE,GE Aerospace,Industrials,Aerospace & Defense,371990682280.6632,USD,yfinance,,2026-07-08
25,KO,KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,358827040226.26715,USD,yfinance,,2026-07-08
26,CVX,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,350461455331.1896,USD,yfinance,,2026-07-08
27,MS,MS,Morgan Stanley,Financial Services,Capital Markets,343958511595.56903,USD,yfinance,,2026-07-08
28,HD,HD,"Home Depot, Inc. (The)",Consumer Cyclical,Home Improvement Retail,335240591134.93585,USD,yfinance,,2026-07-08
29,NFLX,NFLX,"Netflix, Inc.",Communication Services,Entertainment,318294245311.11523,USD,yfinance,,2026-07-08
30,MRK,MRK,"Merck & Company, Inc.",Healthcare,Drug Manufacturers - General,311173172769.73584,USD,yfinance,,2026-07-08
31,GS,GS,"Goldman Sachs Group, Inc. (The)",Financial Services,Capital Markets,303751445279.83777,USD,yfinance,,2026-07-08
32,KLAC,KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,288921941380.3546,USD,yfinance,,2026-07-08
33,IBM,IBM,International Business Machines,Technology,Information Technology Services,283892337350.791,USD,yfinance,,2026-07-08
34,TXN,TXN,Texas Instruments Incorporated,Technology,Semiconductors,274229166449.83868,USD,yfinance,,2026-07-08
35,RTX,RTX,RTX Corporation,Industrials,Aerospace & Defense,262482071883.182,USD,yfinance,,2026-07-08
36,WFC,WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,261829805635.47424,USD,yfinance,,2026-07-08
37,PANW,PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,261280847015.38086,USD,yfinance,,2026-07-08
38,LIN,LIN,Linde plc,Basic Materials,Specialty Chemicals,243966797166.2567,USD,yfinance,,2026-07-08
39,C,C,"Citigroup, Inc.",Financial Services,Banks - Diversified,234329216806.44843,USD,yfinance,,2026-07-08
40,AXP,AXP,American Express Company,Financial Services,Credit Services,229527802155.78625,USD,yfinance,,2026-07-08
41,ANET,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,227972630592.58017,USD,yfinance,,2026-07-08
42,AMGN,AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,198607242478.6714,USD,yfinance,,2026-07-08
43,MCD,MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,197698255266.75,USD,yfinance,,2026-07-08
44,QCOM,QCOM,QUALCOMM Incorporated,Technology,Semiconductors,196634237426.7578,USD,yfinance,,2026-07-08
45,TMUS,TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,194948357059.85468,USD,yfinance,,2026-07-08
46,PEP,PEP,"Pepsico, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,194802749555.829,USD,yfinance,,2026-07-08
47,CRWD,CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,194609708621.63086,USD,yfinance,,2026-07-08
48,TMO,TMO,Thermo Fisher Scientific Inc,Healthcare,Diagnostics & Research,189575259755.00793,USD,yfinance,,2026-07-08
49,ADI,ADI,"Analog Devices, Inc.",Technology,Semiconductors,187723342243.05664,USD,yfinance,,2026-07-08
50,NEE,NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,182365337595.32996,USD,yfinance,,2026-07-08
51,VZ,VZ,Verizon Communications Inc.,Communication Services,Telecom Services,177252478915.19864,USD,yfinance,,2026-07-08
52,SCHW,SCHW,Charles Schwab Corporation (The,Financial Services,Capital Markets,176870075754.4796,USD,yfinance,,2026-07-08
53,TJX,TJX,"TJX Companies, Inc. (The)",Consumer Cyclical,Apparel Retail,168787784887.50107,USD,yfinance,,2026-07-08
54,GILD,GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,168630029380.20935,USD,yfinance,,2026-07-08
55,DIS,DIS,Walt Disney Company (The),Communication Services,Entertainment,167920649401.3877,USD,yfinance,,2026-07-08
56,DE,DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,161082456358.39233,USD,yfinance,,2026-07-08
57,ETN,ETN,"Eaton Corporation, PLC",Industrials,Specialty Industrial Machinery,155149147052.00195,USD,yfinance,,2026-07-08
