ticker,security_type,exchange,is_active,yahoo_symbol,company_name,long_name,sector,industry,market_cap,currency,fetch_error,snapshot_date
NVDA,COMMON_STOCK,NASDAQ,True,NVDA,NVIDIA Corporation,NVIDIA Corporation,Technology,Semiconductors,4943990401733.398,USD,,2026-07-08
AAPL,COMMON_STOCK,NASDAQ,True,AAPL,Apple Inc.,Apple Inc.,Technology,Consumer Electronics,4602870711986.816,USD,,2026-07-08
GOOGL,COMMON_STOCK,NASDAQ,True,GOOGL,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,4416355430700.591,USD,,2026-07-08
GOOG,COMMON_STOCK,NASDAQ,True,GOOG,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,4377184902833.556,USD,,2026-07-08
MSFT,COMMON_STOCK,NASDAQ,True,MSFT,Microsoft Corporation,Microsoft Corporation,Technology,Software - Infrastructure,2847616132227.6196,USD,,2026-07-08
AMZN,COMMON_STOCK,NASDAQ,True,AMZN,"Amazon.com, Inc.","Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2620646948273.3716,USD,,2026-07-08
AVGO,COMMON_STOCK,NASDAQ,True,AVGO,Broadcom Inc.,Broadcom Inc.,Technology,Semiconductors,1849223858775.8064,USD,,2026-07-08
META,COMMON_STOCK,NASDAQ,True,META,"Meta Platforms, Inc.","Meta Platforms, Inc.",Communication Services,Internet Content & Information,1530973850713.835,USD,,2026-07-08
LLY,COMMON_STOCK,NYSE,True,LLY,Eli Lilly and Company,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,1084205914469.1252,USD,,2026-07-08
MU,COMMON_STOCK,NASDAQ,True,MU,"Micron Technology, Inc.","Micron Technology, Inc.",Technology,Semiconductors,1071568207882.2625,USD,,2026-07-08
WMT,COMMON_STOCK,NASDAQ,True,WMT,Walmart Inc.,Walmart Inc.,Consumer Defensive,Discount Stores,900058740287.4349,USD,,2026-07-08
JPM,COMMON_STOCK,NYSE,True,JPM,JP Morgan Chase & Co.,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,885900051935.6082,USD,,2026-07-08
AMD,COMMON_STOCK,NASDAQ,True,AMD,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",Technology,Semiconductors,843680971393.2981,USD,,2026-07-08
JNJ,COMMON_STOCK,NYSE,True,JNJ,Johnson & Johnson,Johnson & Johnson,Healthcare,Drug Manufacturers - General,634060935468.9136,USD,,2026-07-08
XOM,COMMON_STOCK,NYSE,True,XOM,ExxonMobil Holdings Corporation,ExxonMobil Holdings Corporation,Energy,Oil & Gas Integrated,584976413212.0598,USD,,2026-07-08
INTC,COMMON_STOCK,NASDAQ,True,INTC,Intel Corporation,Intel Corporation,Technology,Semiconductors,554066229263.3057,USD,,2026-07-08
CSCO,COMMON_STOCK,NASDAQ,True,CSCO,"Cisco Systems, Inc.","Cisco Systems, Inc.",Technology,Communication Equipment,448614092367.4696,USD,,2026-07-08
ABBV,COMMON_STOCK,NYSE,True,ABBV,AbbVie Inc.,AbbVie Inc.,Healthcare,Drug Manufacturers - General,446539227284.8228,USD,,2026-07-08
CAT,COMMON_STOCK,NYSE,True,CAT,"Caterpillar, Inc.",Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,436678055114.085,USD,,2026-07-08
COST,COMMON_STOCK,NASDAQ,True,COST,Costco Wholesale Corporation,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,422692954621.94385,USD,,2026-07-08
BAC,COMMON_STOCK,NYSE,True,BAC,Bank of America Corporation,Bank of America Corporation,Financial Services,Banks - Diversified,413731229539.031,USD,,2026-07-08
ORCL,COMMON_STOCK,NYSE,True,ORCL,Oracle Corporation,Oracle Corporation,Technology,Software - Infrastructure,404677386612.8998,USD,,2026-07-08
UNH,COMMON_STOCK,NYSE,True,UNH,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,386506263885.2736,USD,,2026-07-08
GE,COMMON_STOCK,NYSE,True,GE,GE Aerospace,GE Aerospace,Industrials,Aerospace & Defense,371990682280.6632,USD,,2026-07-08
KO,COMMON_STOCK,NYSE,True,KO,Coca-Cola Company (The),The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,358827040226.26715,USD,,2026-07-08
CVX,COMMON_STOCK,NYSE,True,CVX,Chevron Corporation,Chevron Corporation,Energy,Oil & Gas Integrated,350461455331.1896,USD,,2026-07-08
MS,COMMON_STOCK,NYSE,True,MS,Morgan Stanley,Morgan Stanley,Financial Services,Capital Markets,343958511595.56903,USD,,2026-07-08
HD,COMMON_STOCK,NYSE,True,HD,"Home Depot, Inc. (The)","The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,335240591134.93585,USD,,2026-07-08
NFLX,COMMON_STOCK,NASDAQ,True,NFLX,"Netflix, Inc.","Netflix, Inc.",Communication Services,Entertainment,318294245311.11523,USD,,2026-07-08
MRK,COMMON_STOCK,NYSE,True,MRK,"Merck & Company, Inc.","Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,311173172769.73584,USD,,2026-07-08
