model_horizon_days,rebalance_every_days,base_policy,exposure_policy,target_volatility,leverage_cap,period,num_rebalances,annualized_net_return,net_sharpe,net_sortino,max_drawdown,calmar,avg_net_return,avg_realized_return_ic,avg_model_target_ic,avg_turnover,annualized_turnover,return_per_annual_turnover,avg_transaction_cost,avg_financing_cost,avg_exposure,min_exposure,max_exposure,leveraged_period_share,deleveraged_period_share,net_hit_rate,top_n,covariance_lookback,annualized_net_volatility,avg_base_effective_n,avg_base_max_weight,avg_pairwise_correlation,avg_max_pairwise_correlation,avg_ex_ante_annualized_volatility,optimizer_fallback_rate
20,10,inverse_volatility,static_1x,,1.0,2021,26,-0.04094047398859402,0.20065193288118371,0.2897495106168007,-0.3979463777260662,-0.10287937340335876,0.004411705454492922,-0.04151941140090673,-0.054243463635006,1.0454054850491068,26.34421822323749,-0.0015540591731236716,0.001045405485049107,0.0,1.0,1.0,1.0,0.0,0.0,0.5,10,60,0.5540688088913354,9.56616285953754,0.12780900232828293,,,,0.0
20,10,inverse_volatility,static_1x,,1.0,2022,26,-0.4525892829446807,-0.5164315499603479,-1.2741721511352488,-0.49069914067697484,-0.9223355930892455,-0.014574345210011296,-0.08470086902554524,-0.08391591623005151,1.2073828283978225,30.426047275625127,-0.01487506013662374,0.0012073828283978225,0.0,1.0,1.0,1.0,0.0,0.0,0.3076923076923077,10,60,0.7111755649330183,9.517952551147125,0.13729644149863113,,,,0.0
20,10,inverse_volatility,static_1x,,1.0,2023,25,3.7843122922187513,2.3610551062948755,10.26347821784359,-0.32203580585939096,11.751215931159775,0.0746310290007342,0.06177551873293561,0.057163221451042814,1.2359482351069366,31.1458955246948,0.12150276074798572,0.0012359482351069367,0.0,1.0,1.0,1.0,0.0,0.0,0.64,10,60,0.7965514764159082,8.966015381051527,0.1572375230440222,,,,0.0
20,10,inverse_volatility,static_1x,,1.0,2024,26,0.8112897097088896,1.3678718546438524,2.4202560005390334,-0.23442713197204168,3.460732991459563,0.029402707872849494,-0.017673314871082705,-0.00026514577724847207,1.261517758512448,31.790247514513688,0.02552008157025198,0.0012615177585124477,0.0,1.0,1.0,1.0,0.0,0.0,0.6153846153846154,10,60,0.5416795702611522,9.409755037638046,0.13760037280546025,,,,0.0
20,10,inverse_volatility,static_1x,,1.0,2025,25,2.305818185085558,2.578564957294923,3.936978306086919,-0.21266693277012882,10.842391692261398,0.05371244701410323,0.09019189801549282,0.10917532406885332,1.443896806208204,36.38619951644674,0.06337067942595426,0.0014438968062082038,0.0,1.0,1.0,1.0,0.0,0.0,0.8,10,60,0.5249251762791984,9.4567214426018,0.13674288418200914,,,,0.0
20,10,inverse_volatility,static_1x,,1.0,2026,11,1.4059983315161761,1.5048769883338684,2.8578285040286864,-0.2963505780953096,4.7443751942471035,0.04500847146698965,0.027895204049558718,0.04338840353177768,1.5457581666289728,38.953105799050114,0.036094640020988056,0.001545758166628973,0.0,1.0,1.0,1.0,0.0,0.0,0.5454545454545454,10,60,0.7536918231595054,9.689376186022765,0.1356368306553395,,,,0.0
20,10,inverse_volatility,legacy_risk_scaled,,1.0,2021,26,-0.2026907056528191,-0.4876814267723533,-0.5229140817546766,-0.3699513683740021,-0.5478847302111045,-0.006561029239349711,-0.04151941140090673,-0.054243463635006,0.5669942129753842,14.288254166979682,-0.014185827273512508,0.0005669942129753842,0.0,0.5346153846153846,0.45,1.0,0.0,0.8461538461538461,0.5,10,60,0.3390285701997658,9.56616285953754,0.12780900232828293,,,,0.0
20,10,inverse_volatility,legacy_risk_scaled,,1.0,2022,26,-0.19248924697391112,-0.5164315499603479,-1.2741721511352493,-0.25314123481132866,-0.760402575729621,-0.006558455344505083,-0.08470086902554524,-0.08391591623005151,0.5433222727790201,13.691721274031307,-0.014058805545435689,0.0005433222727790202,0.0,0.44999999999999996,0.45,0.45,0.0,1.0,0.3076923076923077,10,60,0.3200290042198582,9.517952551147125,0.13729644149863113,,,,0.0
20,10,inverse_volatility,legacy_risk_scaled,,1.0,2023,25,1.5214902986798648,2.53848581595851,12.282246109121036,-0.1568075933237819,9.702912125806545,0.04018973789866442,0.06177551873293561,0.057163221451042814,0.5946586801661112,14.985398740186003,0.10153151911798776,0.0005946586801661112,0.0,0.486,0.45,0.75,0.0,1.0,0.64,10,60,0.39897067325701246,8.966015381051527,0.1572375230440222,,,,0.0
20,10,inverse_volatility,legacy_risk_scaled,,1.0,2024,26,0.6914266968761151,1.5573594106399549,3.165225830214669,-0.10980231948876618,6.29701357945225,0.02376558502425646,-0.017673314871082705,-0.00026514577724847207,0.829073125596175,20.89264276502361,0.03309426694614399,0.000829073125596175,0.0,0.6423076923076922,0.45,1.0,0.0,0.6923076923076923,0.6153846153846154,10,60,0.38455653750804003,9.409755037638046,0.13760037280546025,,,,0.0
