policy,sleeve_budget,policy_variant,comparator,drawdown_absolute_improvement,expected_shortfall_95_relative_improvement,maximum_recovery_days_relative_reduction,annualized_return_drag,sharpe_delta,years_with_drawdown_improvement,holdout_drawdown_delta,holdout_sharpe_delta,required_cost_stress_bps,stressed_sharpe_delta,stressed_drawdown_absolute_improvement,stressed_annualized_return_drag,drawdown_gate,expected_shortfall_gate,recovery_gate,return_drag_gate,sharpe_gate,yearly_drawdown_gate,holdout_drawdown_gate,holdout_sharpe_gate,cost_stress_gate,all_gates_pass
strategic_gold_10,0.05,strategic_gold_10@5%,baseline_cash_yield,0.020523715409993315,0.04784895286587642,0.0,0.015547514885108082,0.019164513278778106,6,0.00699042958088103,0.04459402891111042,25.0,0.01597519316626883,0.01968548533715264,0.017220180929572004,False,False,False,True,True,True,True,True,False,False
strategic_oil_10,0.05,strategic_oil_10@5%,baseline_cash_yield,0.036335168078542424,0.046830689001254935,0.0,0.003954020970178718,0.04182251735956921,6,0.018248775467410216,0.06551384193525944,25.0,0.03864205827598233,0.03547048706152012,0.005639403237735596,False,False,False,True,True,True,True,True,False,False
strategic_diversified_10,0.05,strategic_diversified_10@5%,baseline_cash_yield,0.02092659670931496,0.04810374730174283,0.0,0.02035479412192398,0.009745396275504525,6,0.009691962858831449,0.02482658293511264,25.0,0.0065536370718652925,0.020087569358996138,0.02202212896954503,False,False,False,True,True,True,True,True,False,False
regime_fixed_20,0.05,regime_fixed_20@5%,baseline_cash_yield,-0.00020917444119983308,-0.0006775090407422649,0.0,-0.002721621631667226,0.0034425049190141,2,0.0034045797470779737,0.01621707598205724,25.0,0.00028004998518338375,-0.0010574452750138352,-0.0009614441466920809,False,False,False,True,True,False,True,True,False,False
regime_trend_20,0.05,regime_trend_20@5%,baseline_cash_yield,0.0026504341708878387,-0.0001950069387273001,0.0,-0.000898216409618291,0.0019088143085310705,4,0.0019253895566634371,0.013924969370276763,25.0,-0.0036558662375552053,0.0011358505005306663,0.0021193775633476797,False,False,False,True,True,True,True,True,False,False
diversified_trend_overlay_20,0.05,diversified_trend_overlay_20@5%,baseline_cash_yield,0.0018584004131789733,-0.004138475839182338,0.0,0.001524767238866298,-0.0022275536777798255,3,0.002683875686120718,0.004789377406135387,25.0,-0.008135363449940591,0.00017962582750796763,0.004666915708308128,False,False,False,True,False,False,True,True,False,False
strategic_gold_10,0.1,strategic_gold_10@10%,baseline_cash_yield,0.04158058798735498,0.09569790573175257,0.0,0.03140303944131406,0.03945660635880888,6,0.014003475956517186,0.09237166229402183,25.0,0.03624593913196894,0.040755814528079415,0.03299231611756026,False,False,False,True,True,True,True,True,False,False
strategic_oil_10,0.1,strategic_oil_10@10%,baseline_cash_yield,0.07473351232205261,0.07598932937695023,0.0,0.008714771907735619,0.08358490554105646,6,0.02631395190453789,0.13104416712015654,25.0,0.0804024859720105,0.07385621395495812,0.010327654865537328,False,False,False,True,True,True,True,True,False,False
strategic_diversified_10,0.1,strategic_diversified_10@10%,baseline_cash_yield,0.04245343080298225,0.09620749460348578,0.0,0.04085378135821549,0.020171707168143316,6,0.019461211725463,0.051954390885834645,25.0,0.016955620940754423,0.04162703277795965,0.04243291665583904,False,False,False,True,True,True,True,True,False,False
regime_fixed_20,0.1,regime_fixed_20@10%,baseline_cash_yield,-0.0004472341081975806,-0.0013550180814845298,0.0,-0.0054153676523969185,0.006640567611996273,2,0.006813593452904332,0.03217293859557113,25.0,0.0034854278517870707,-0.0012946255079970825,-0.0036522486094012763,False,False,False,True,True,False,True,True,False,False
regime_trend_20,0.1,regime_trend_20@10%,baseline_cash_yield,0.00525493625691853,-0.0003900138774544689,0.0,-0.001733181037292697,0.0033565718899510877,5,0.003853097216123924,0.027710439439574852,25.0,-0.00459900819391601,0.0030699931881472686,0.0025447119455925815,False,False,False,True,True,True,True,True,False,False
