policy,policy_label,policy_kind,period,num_rebalances,annualized_net_return,annualized_volatility,net_sharpe,net_sortino,max_drawdown,calmar,expected_shortfall_95_return,worst_rebalance_return,ending_value_100k,maximum_underwater_days,avg_equity_exposure,avg_sleeve_gross_notional,avg_cash_weight,avg_sleeve_turnover,annualized_sleeve_turnover,avg_sleeve_transaction_cost,avg_short_borrow_cost,turnover_bps,budget_override,sleeve_budget
strategic_gold_10,Strategic 10% gold,strategic_single,overall,139,0.4863676761775477,0.3342251255293145,1.3554572490338652,2.7328079538016055,-0.47163170227153006,1.031244663653958,-0.10051165772886717,-0.20182787194986826,890074.8912816521,860,0.5074640287769785,0.049999999999999996,0.44253597122302163,0.030773381294964028,0.7754892086330935,1.5386690647482016e-05,0.0,5.0,0.05,0.05
strategic_gold_10,Strategic 10% gold,strategic_single,development_2021_2023,77,0.143750537685418,0.3298381533981484,0.5676951392296419,0.9822850737846316,-0.47163170227153006,0.3047940522086814,-0.11550454570127835,-0.20182787194986826,150742.10033059347,860,0.4657467532467533,0.04999999999999998,0.48425324675324666,0.024707792207792206,0.6226363636363635,1.2353896103896104e-05,0.0,5.0,0.05,0.05
strategic_gold_10,Strategic 10% gold,strategic_single,holdout_2024_2026,62,1.0580324930289629,0.33050632765436944,2.3694248936566025,6.099930396366279,-0.11567319775861118,9.146738514455901,-0.07947928818291068,-0.08265882264822434,590462.0469859599,146,0.5592741935483874,0.04999999999999998,0.3907258064516129,0.038306451612903226,0.9653225806451613,1.915322580645161e-05,0.0,5.0,0.05,0.05
strategic_gold_10,Strategic 10% gold,strategic_single,2021,26,-0.17543444233044347,0.299020319267214,-0.48883834649886365,-0.5809302542769897,-0.318296692830184,-0.5511664000355805,-0.1457982758459665,-0.20182787194986826,81953.15404690878,331,0.5078846153846154,0.05000000000000001,0.44211538461538463,0.06221153846153846,1.5677307692307692,3.110576923076923e-05,0.0,5.0,0.05,0.05
strategic_gold_10,Strategic 10% gold,strategic_single,2022,26,-0.17936511725025173,0.27764087909038354,-0.5790709209262446,-0.8958612729524289,-0.2520445836845919,-0.7116404353077028,-0.07689672545670206,-0.08369930951677687,81550.11464675082,362,0.4275,0.05000000000000001,0.5225000000000001,0.0,0.0,0.0,0.0,5.0,0.05,0.05
strategic_gold_10,Strategic 10% gold,strategic_single,2023,25,1.270232142500992,0.3746060902585757,2.3917031414139083,7.98785137571054,-0.1520844725325039,8.35214878513988,-0.05091202408956626,-0.06271876310387912,225550.76982365918,128,0.46169999999999994,0.05000000000000001,0.48829999999999996,0.011399999999999995,0.28727999999999987,5.699999999999998e-06,0.0,5.0,0.05,0.05
strategic_gold_10,Strategic 10% gold,strategic_single,2024,26,0.7796174154212461,0.36588289143491604,1.7604160745482023,4.195786191278996,-0.09896398939256879,7.877788882667938,-0.0821175966910481,-0.08265882264822434,181248.12595637457,146,0.6101923076923076,0.05000000000000001,0.33980769230769226,0.031057692307692304,0.782653846153846,1.5528846153846152e-05,0.0,5.0,0.05,0.05
strategic_gold_10,Strategic 10% gold,strategic_single,2025,25,1.6496013656086501,0.297888848433261,3.468968864783418,11.295580045819111,-0.07732822791486049,21.33246047516937,-0.05758280351375769,-0.07732822791486066,262918.99481910013,43,0.5643,0.05000000000000001,0.38569999999999993,0.06269999999999999,1.5800399999999997,3.1349999999999996e-05,0.0,5.0,0.05,0.05
strategic_gold_10,Strategic 10% gold,strategic_single,2026,11,0.6340886653938311,0.3285699895120546,1.6523053137512134,4.027272627209751,-0.11567319775861096,5.481725046774098,-0.07635373143468589,-0.07635373143468589,123907.18763062847,74,0.42750000000000005,0.05,0.5225,0.0,0.0,0.0,0.0,5.0,0.05,0.05
strategic_oil_10,Strategic 10% oil,strategic_single,overall,139,0.49796541017862817,0.33453256268643944,1.3781122691844059,2.7734537535291097,-0.45581142778761385,1.0924811880992507,-0.1006192282613693,-0.20381318755312985,929063.8472406159,860,0.5074640287769785,0.049999999999999996,0.44253597122302163,0.030773381294964028,0.7754892086330935,1.5386690647482016e-05,0.0,5.0,0.05,0.05
