policy,period,num_rebalances,annualized_net_return,annualized_net_volatility,net_sharpe,net_sortino,max_drawdown,calmar,expected_shortfall_95_return,worst_rebalance_return,ending_value_100k,maximum_underwater_days,avg_exposure,min_exposure,max_exposure,avg_cash_weight,avg_turnover,annualized_turnover,return_per_annual_turnover,avg_transaction_cost,avg_controller_transaction_cost,avg_financing_cost,leveraged_period_share,deleveraged_period_share,net_hit_rate,drawdown_budget_floor_ratio,drawdown_budget_cushion_multiplier,cash_turnover_bps,cash_proxy,record
drawdown_budget_78_m3,overall,139,0.3511382281486821,0.22863128140531527,1.4345361744704694,2.93603113253788,-0.2156886354492643,1.6279866921003316,-0.07853439622160827,-0.0882688024981523,525924.4960616156,1032,0.3455740157337463,0.016491019047793334,0.6600000000000001,0.6544259842662536,0.5085942979893674,12.816576309332058,0.027397194045730443,0.000508594297989337,3.8368862136056355e-05,0.0,0.0,1.0,0.5755395683453237,0.78,3.0,10.0,BIL,selected
drawdown_budget_78_m3,development_2021_2023,77,0.09240133645484616,0.17193311556113486,0.5980918362722785,1.0464460180665647,-0.2156886354492643,0.42840150693327284,-0.07105213845791362,-0.0882688024981523,131002.32819431888,1032,0.2267252523728276,0.016491019047793334,0.6431731876867077,0.7732747476271725,0.3026085791582008,7.6257361947866595,0.012117038157970427,0.0003026085791581775,4.4612260467176784e-05,0.0,0.0,1.0,0.4805194805194805,0.78,3.0,10.0,BIL,selected
drawdown_budget_78_m3,confirmation_2024_2026,62,0.759349954336431,0.2751953291970232,2.207883393997196,4.8059140083695855,-0.12234748213586455,6.206502504834447,-0.08073760580225962,-0.08671267079984867,401461.9459903788,146,0.49317651216585473,0.33379674487273264,0.6600000000000001,0.5068234878341452,0.7644152713764613,19.263264838686823,0.039419587525548236,0.0007644152713764222,3.061496420869712e-05,0.0,0.0,1.0,0.6935483870967742,0.78,3.0,10.0,BIL,selected
drawdown_budget_78_m3,2021,26,-0.052343521374246915,0.20201223146854175,-0.16771180513779735,-0.22520011325507178,-0.184285275544132,-0.28403528833052033,-0.08181825124717254,-0.0882688024981523,94604.04279348128,331,0.3777611450397532,0.16148751736522868,0.6146773298990857,0.6222388549602468,0.4756710348807537,11.986910078994992,-0.004366723453275084,0.00047567103488071355,6.790056062966901e-05,0.0,0.0,1.0,0.5,0.78,3.0,10.0,BIL,selected
drawdown_budget_78_m3,2022,26,-0.032345385456908904,0.031262335638602846,-1.035867674923135,-1.133712596449077,-0.03849796866923094,-0.8401842116610319,-0.016062349194286764,-0.026071968566532613,96664.50926094908,362,0.035837793575307586,0.016491019047793334,0.13135005432086042,0.9641622064246924,0.062324106136665273,1.5705674746439648,-0.020594712407527315,6.232410613666179e-05,1.77330255739108e-05,0.0,0.0,1.0,0.34615384615384615,0.78,3.0,10.0,BIL,selected
drawdown_budget_78_m3,2023,25,0.4366503594693161,0.21257237534580115,1.8141394867986986,5.269811132258362,-0.14381333299354881,3.0362300238803543,-0.03856005431084053,-0.04119306300983791,143252.5190765399,157,0.26817088114864573,0.03236485902481306,0.6431731876867077,0.7318291188513544,0.3725194771491427,9.387490824158396,0.046514065115846596,0.00037251947714911636,4.8346832587181484e-05,0.0,0.0,1.0,0.6,0.78,3.0,10.0,BIL,selected
drawdown_budget_78_m3,2024,26,0.4929059531161737,0.2927233793422819,1.5171248096718535,3.0720194382803787,-0.11165792183258005,4.414428864753878,-0.08041710786309081,-0.08671267079984867,151201.91426658278,146,0.5076339167061202,0.36587958905736373,0.6600000000000001,0.4923660832938799,0.7153022377480446,18.025616391250722,0.027344748851718628,0.000715302237748009,3.602332715587256e-05,0.0,0.0,1.0,0.6153846153846154,0.78,3.0,10.0,BIL,selected
drawdown_budget_78_m3,2025,25,1.211285244715227,0.24815802166496084,3.3639160779247312,8.641107458298368,-0.08101427038216935,14.951504704062877,-0.06126568048512048,-0.0810142703821692,219740.18816415986,43,0.5019295302055725,0.45,0.6599999999999998,0.49807046979442743,0.8265446721338315,20.828925737772554,0.058153995072275956,0.0008265446721337832,2.9164590585279998e-05,0.0,0.0,1.0,0.8,0.78,3.0,10.0,BIL,selected
drawdown_budget_78_m3,2026,11,0.5426287450919733,0.302222161196252,1.58072633973265,3.422463634618292,-0.12234748213586455,4.435144357849509,-0.08110193710068768,-0.08110193710068768,120830.78690755076,103,0.4391112422531418,0.33379674487273264,0.45,0.5608887577468582,0.739297440049604,18.63029548925002,0.029126148074520818,0.0007392974400495773,2.1127864568594067e-05,0.0,0.0,1.0,0.6363636363636364,0.78,3.0,10.0,BIL,selected
legacy_risk_scaled_cash_yield,overall,139,0.5013574742111333,0.3509731698120656,1.335231982702824,2.687105678155045,-0.4924349745932046,1.0181191427869223,-0.10564111743484861,-0.2140050855670619,940727.7214998038,860,0.5341726618705037,0.45,1.0,0.4658273381294964,0.7389115573888968,18.6205712462002,0.0269249244602763,0.0007389115573888497,3.201438848920864e-05,0.0,0.0,0.8705035971223022,0.5683453237410072,,,10.0,BIL,cash_yield_comparator
