policy,coefficient,estimate,hac_standard_error,hac_t_stat
baseline_equal_weight,intercept,-0.002741277095755384,0.002719004045620293,-1.0081916208146022
baseline_equal_weight,size,-0.3335791179429654,0.2200428122328767,-1.5159737078343212
baseline_equal_weight,value,-0.10689951756125504,0.18612196953600932,-0.574351957631595
baseline_equal_weight,quality,-1.0134882715020512,0.19284246965916474,-5.255524228108669
baseline_equal_weight,leverage,-0.4250069032926118,0.20057969964041739,-2.1188929091753996
turnover_buffer_inverse_volatility_risk_scaled,intercept,-0.0016716769252011652,0.0017005857143954132,-0.9830006867930644
turnover_buffer_inverse_volatility_risk_scaled,size,-0.22930032072208656,0.11953702071469963,-1.918236872151601
turnover_buffer_inverse_volatility_risk_scaled,value,-0.012707316303457034,0.09613995995942379,-0.13217517782221047
turnover_buffer_inverse_volatility_risk_scaled,quality,-0.5030413298873532,0.11439511530751657,-4.397402183957586
turnover_buffer_inverse_volatility_risk_scaled,leverage,-0.19703781958330985,0.11828950665230377,-1.665725263040248
