test_year,selection_cutoff,minimum_history_days,eligible_securities,can_form_2000,minimum_top2000_median_dollar_volume
2020,2019-12-31,252,1492,False,
2021,2020-12-31,252,1645,False,
2022,2021-12-31,252,1867,False,
2023,2022-12-31,252,1832,False,
2024,2023-12-31,252,1884,False,
2025,2024-12-31,252,2055,True,5775251.024627686
2026,2025-12-31,252,2288,True,9804656.970977783
2020,2019-12-31,504,0,False,
2021,2020-12-31,504,1579,False,
2022,2021-12-31,504,1753,False,
2023,2022-12-31,504,1747,False,
2024,2023-12-31,504,1866,False,
2025,2024-12-31,504,2025,True,5294198.179626465
2026,2025-12-31,504,2230,True,9044567.727661133
