ticker,status,first_date,last_date,rows
A,pass,2018-01-02,2026-07-10,2141
AA,pass,2018-01-02,2026-07-10,2141
AACI,pass,2026-03-27,2026-07-10,72
AACO,pass,2026-04-14,2026-07-10,61
AACP,pass,2026-05-28,2026-07-10,30
AADX,pass,2026-06-03,2026-07-10,26
AAL,pass,2018-01-02,2026-07-10,2141
AAMI,pass,2018-01-02,2026-07-10,2141
AAOI,pass,2018-01-02,2026-07-10,2141
AAON,pass,2018-01-02,2026-07-10,2141
AAP,pass,2018-01-02,2026-07-10,2141
AAPG,pass,2025-01-24,2026-07-10,366
AAPL,pass,2018-01-02,2026-07-10,2141
AARD,pass,2025-02-13,2026-07-10,352
AAT,pass,2018-01-02,2026-07-10,2141
AAUC,pass,2024-08-15,2026-07-10,476
ABAT,pass,2018-01-02,2026-07-10,2141
ABBV,pass,2018-01-02,2026-07-10,2141
ABCB,pass,2018-01-02,2026-07-10,2141
ABCL,pass,2020-12-11,2026-07-10,1399
ABEO,pass,2018-01-02,2026-07-10,2141
ABG,pass,2018-01-02,2026-07-10,2141
ABLV,pass,2022-09-12,2026-07-10,960
ABM,pass,2018-01-02,2026-07-10,2141
ABNB,pass,2020-12-10,2026-07-10,1400
ABOS,pass,2021-07-01,2026-07-10,1261
ABR,pass,2018-01-02,2026-07-10,2141
ABSI,pass,2021-07-22,2026-07-10,1247
ABT,pass,2018-01-02,2026-07-10,2141
ABTC,pass,2018-02-26,2026-07-10,2104
ABTS,pass,2018-01-02,2026-07-10,2141
ABUS,pass,2018-01-02,2026-07-10,2141
ABVC,pass,2018-01-02,2026-07-10,2141
ABX,pass,2020-09-14,2026-07-10,1462
ACA,pass,2018-11-05,2026-07-10,1928
ACAA,pass,2026-04-10,2026-07-10,63
ACAD,pass,2018-01-02,2026-07-10,2141
ACB,pass,2018-01-02,2026-07-10,2141
ACCL,pass,2025-10-17,2026-07-10,182
ACCO,pass,2018-01-02,2026-07-10,2141
ACCS,pass,2018-01-02,2026-07-10,2141
ACDC,pass,2022-05-13,2026-07-10,1042
ACEL,pass,2018-01-02,2026-07-10,2141
ACET,pass,2018-01-26,2026-07-10,2124
ACFN,pass,2018-01-02,2026-07-10,2141
ACGC,pass,2026-05-28,2026-07-10,30
ACGL,pass,2018-01-02,2026-07-10,2141
ACH,pass,2018-01-02,2026-07-10,2141
ACHC,pass,2018-01-02,2026-07-10,2141
ACHR,pass,2020-12-18,2026-07-10,1394
ACHV,pass,2018-01-02,2026-07-10,2141
ACI,pass,2020-06-26,2026-07-10,1516
ACIC,pass,2018-01-02,2026-07-10,2141
ACIU,pass,2018-01-02,2026-07-10,2141
ACIW,pass,2018-01-02,2026-07-10,2141
ACLS,pass,2018-01-02,2026-07-10,2141
ACM,pass,2018-01-02,2026-07-10,2141
ACMR,pass,2018-01-02,2026-07-10,2141
ACN,pass,2018-01-02,2026-07-10,2141
ACNB,pass,2018-01-02,2026-07-10,2141
ACNT,pass,2018-01-02,2026-07-10,2141
