ticker,cutoff,price,history_days,median_dollar_volume_60d,liquidity_rank
TSLA,2025-12-31,449.7200012207031,2011,33581172311.314392,1
NVDA,2025-12-31,186.27281188964844,2011,33072876699.925232,2
AAPL,2025-12-31,271.3558349609375,2011,12025310881.503296,3
AMD,2025-12-31,214.16000366210935,2011,10897953898.608398,4
MSFT,2025-12-31,481.4758605957031,2011,10724862967.861938,5
AMZN,2025-12-31,230.82000732421875,2011,9700264657.958221,6
META,2025-12-31,658.9146728515625,2011,9345238096.246338,7
GOOGL,2025-12-31,312.5931091308594,2011,8886425200.579834,8
PLTR,2025-12-31,177.75,1320,7685852229.322815,9
AVGO,2025-12-31,344.8297424316406,2011,7673965165.59906,10
GOOG,2025-12-31,313.3904724121094,2011,5679809280.169678,11
MU,2025-12-31,285.24627685546875,2011,5246826450.670624,12
ORCL,2025-12-31,193.0479431152344,2011,4987809559.920502,13
TSM,2025-12-31,302.328125,2011,3487207952.342224,14
MSTR,2025-12-31,151.9499969482422,2011,3483770068.470001,15
HOOD,2025-12-31,113.0999984741211,1112,3277235767.0684814,16
LLY,2025-12-31,1071.045654296875,2011,3248665342.102051,17
INTC,2025-12-31,36.900001525878906,2011,3156992238.886261,18
COIN,2025-12-31,226.13999938964844,1186,2622363870.414734,19
JPM,2025-12-31,317.70855712890625,2011,2377279550.0183105,20
APP,2025-12-31,673.8200073242188,1185,2369677043.273926,21
COST,2025-12-31,859.915771484375,2011,2195422087.283325,22
BRK.B,2025-12-31,502.6499938964844,2011,2080736724.6276855,23
V,2025-12-31,349.26422119140625,2011,1978347261.303711,24
WMT,2025-12-31,110.97005462646484,2011,1808983525.9990692,25
BAC,2025-12-31,54.40813064575195,2011,1807369126.5703201,26
CRM,2025-12-31,263.56884765625,2011,1778625885.510254,27
IREN,2025-12-31,37.77000045776367,1034,1770649400.7482529,28
SOFI,2025-12-31,26.18000030517578,1255,1758443835.1882935,29
AMAT,2025-12-31,256.3511962890625,2011,1710149622.756958,30
NBIS,2025-12-31,83.70500183105469,300,1678837682.9315186,31
GEV,2025-12-31,652.3611450195312,443,1656528490.750122,32
GS,2025-12-31,870.5615234375,2011,1615997508.605957,33
XOM,2025-12-31,118.73727416992188,2011,1578954207.6202393,34
LRCX,2025-12-31,170.8547821044922,2011,1573382698.6328125,35
JNJ,2025-12-31,204.67852783203125,2011,1553676884.474945,36
UBER,2025-12-31,81.70999908447266,1671,1493151552.3628235,37
OKLO,2025-12-31,71.76000213623047,1127,1478360180.7289124,38
BA,2025-12-31,217.1199951171875,2011,1436907623.261261,39
RGTI,2025-12-31,22.149999618530273,1180,1434899715.271759,40
MA,2025-12-31,568.0936279296875,2011,1434756898.8555908,41
CAT,2025-12-31,570.44677734375,2011,1417733177.0446777,42
ASML,2025-12-31,1066.1220703125,2011,1383159503.0456543,43
BE,2025-12-31,86.88999938964844,1870,1379887931.0646057,44
QCOM,2025-12-31,169.33335876464844,2011,1367528646.4134216,45
