target_horizon_days,base_policy,exposure_policy,years,years_beating_static_sharpe,years_beating_static_return
1,buffer_inverse_volatility,legacy_risk_scaled,6,2,2
1,buffer_inverse_volatility,regime_dd_vol_target_max_1p25,6,1,2
1,buffer_inverse_volatility,regime_dd_vol_target_max_1p50,6,1,2
1,buffer_inverse_volatility,static_1x,6,0,0
1,buffer_inverse_volatility,vol_target_max_1p25,6,5,3
1,buffer_inverse_volatility,vol_target_max_1p50,6,5,3
1,equal_weight,legacy_risk_scaled,6,4,2
1,equal_weight,regime_dd_vol_target_max_1p25,6,2,2
1,equal_weight,regime_dd_vol_target_max_1p50,6,2,2
1,equal_weight,static_1x,6,0,0
1,equal_weight,vol_target_max_1p25,6,3,2
1,equal_weight,vol_target_max_1p50,6,3,2
5,buffer_inverse_volatility,legacy_risk_scaled,6,3,1
5,buffer_inverse_volatility,regime_dd_vol_target_max_1p25,6,1,2
5,buffer_inverse_volatility,regime_dd_vol_target_max_1p50,6,1,2
5,buffer_inverse_volatility,static_1x,6,0,0
5,buffer_inverse_volatility,vol_target_max_1p25,6,1,2
5,buffer_inverse_volatility,vol_target_max_1p50,6,1,2
5,equal_weight,legacy_risk_scaled,6,5,1
5,equal_weight,regime_dd_vol_target_max_1p25,6,1,2
5,equal_weight,regime_dd_vol_target_max_1p50,6,1,2
5,equal_weight,static_1x,6,0,0
5,equal_weight,vol_target_max_1p25,6,1,2
5,equal_weight,vol_target_max_1p50,6,1,2
10,buffer_inverse_volatility,legacy_risk_scaled,6,1,1
10,buffer_inverse_volatility,regime_dd_vol_target_max_1p25,6,1,2
10,buffer_inverse_volatility,regime_dd_vol_target_max_1p50,6,1,2
10,buffer_inverse_volatility,static_1x,6,0,0
10,buffer_inverse_volatility,vol_target_max_1p25,6,1,2
10,buffer_inverse_volatility,vol_target_max_1p50,6,1,2
10,equal_weight,legacy_risk_scaled,6,3,1
10,equal_weight,regime_dd_vol_target_max_1p25,6,1,2
10,equal_weight,regime_dd_vol_target_max_1p50,6,1,2
10,equal_weight,static_1x,6,0,0
10,equal_weight,vol_target_max_1p25,6,1,2
10,equal_weight,vol_target_max_1p50,6,1,2
20,buffer_inverse_volatility,legacy_risk_scaled,6,0,1
20,buffer_inverse_volatility,regime_dd_vol_target_max_1p25,6,0,2
20,buffer_inverse_volatility,regime_dd_vol_target_max_1p50,6,0,2
20,buffer_inverse_volatility,static_1x,6,0,0
20,buffer_inverse_volatility,vol_target_max_1p25,6,1,2
20,buffer_inverse_volatility,vol_target_max_1p50,6,1,2
20,equal_weight,legacy_risk_scaled,6,1,1
20,equal_weight,regime_dd_vol_target_max_1p25,6,0,1
20,equal_weight,regime_dd_vol_target_max_1p50,6,0,1
20,equal_weight,static_1x,6,0,0
20,equal_weight,vol_target_max_1p25,6,1,2
20,equal_weight,vol_target_max_1p50,6,1,2
