target_horizon_days,test_year,training_rows,training_tickers,training_dates,test_rows,test_tickers,test_dates,estimators,jobs
1,2021,308399,455,706,118429,479,252,100,4
1,2022,426803,479,958,121712,487,251,100,4
1,2023,548507,487,1209,122491,493,250,100,4
1,2024,670992,493,1459,125185,500,252,100,4
1,2025,796170,500,1711,124998,500,250,100,4
1,2026,921168,500,1961,56000,500,112,100,4
5,2021,306586,454,702,118429,479,252,100,4
5,2022,424890,478,954,121712,487,251,100,4
5,2023,546559,487,1205,122491,493,250,100,4
5,2024,669021,493,1455,125185,500,252,100,4
5,2025,794170,500,1707,124998,500,250,100,4
5,2026,919168,500,1957,56000,500,112,100,4
10,2021,304319,454,697,118429,479,252,100,4
10,2022,422500,478,949,121712,487,251,100,4
10,2023,544124,487,1200,122491,493,250,100,4
10,2024,666556,493,1450,125185,500,252,100,4
10,2025,791670,500,1702,124998,500,250,100,4
10,2026,916668,500,1952,56000,500,112,100,4
20,2021,299790,453,687,118429,479,252,100,4
20,2022,417720,478,939,121712,487,251,100,4
20,2023,539256,487,1190,122491,493,250,100,4
20,2024,661627,493,1440,125185,500,252,100,4
20,2025,786670,500,1692,124998,500,250,100,4
20,2026,911668,500,1942,55000,500,110,100,4
