model_horizon_days,rebalance_every_days,base_policy,exposure_policy,target_volatility,leverage_cap,period,num_rebalances,annualized_net_return,net_sharpe,net_sortino,max_drawdown,calmar,avg_net_return,avg_realized_return_ic,avg_model_target_ic,avg_turnover,annualized_turnover,return_per_annual_turnover,avg_transaction_cost,avg_financing_cost,avg_exposure,min_exposure,max_exposure,leveraged_period_share,deleveraged_period_share,net_hit_rate,pareto_return_sharpe_drawdown
5,20,equal_weight,vol_target_30pct_max_1p25,0.3,1.25,overall,71,0.1623199205187959,0.5774714165061754,1.1507641763416263,-0.6367301190919968,0.2549273477910402,0.0175776973970005,0.0057292941656191,0.008575365833759,0.948188647505884,11.947176958574138,0.013586466583832,0.0009481886475058,8.20341656960162e-07,0.614400984238416,0.5,1.0146775529263312,0.0140845070422535,0.9014084507042254,0.5211267605633803,False
5,20,equal_weight,vol_target_30pct_max_1p50,0.3,1.5,overall,71,0.1623199205187959,0.5774714165061754,1.1507641763416263,-0.6367301190919968,0.2549273477910402,0.0175776973970005,0.0057292941656191,0.008575365833759,0.948188647505884,11.947176958574138,0.013586466583832,0.0009481886475058,8.20341656960162e-07,0.614400984238416,0.5,1.0146775529263312,0.0140845070422535,0.9014084507042254,0.5211267605633803,False
5,20,buffer_inverse_volatility,vol_target_30pct_max_1p25,0.3,1.25,overall,71,0.1390358024642717,0.5234387840903169,0.9468130282069024,-0.6857580738574212,0.2027475982633187,0.0163138737321792,0.0057292941656191,0.008575365833759,0.9087781993579392,11.450605311910032,0.0121422229373024,0.0009087781993579,1.725994799344628e-05,0.6318006752023655,0.5,1.0925520179856143,0.0704225352112676,0.8450704225352113,0.5070422535211268,False
5,20,buffer_inverse_volatility,vol_target_30pct_max_1p50,0.3,1.5,overall,71,0.1390358024642717,0.5234387840903169,0.9468130282069024,-0.6857580738574212,0.2027475982633187,0.0163138737321792,0.0057292941656191,0.008575365833759,0.9087781993579392,11.450605311910032,0.0121422229373024,0.0009087781993579,1.725994799344628e-05,0.6318006752023655,0.5,1.0925520179856143,0.0704225352112676,0.8450704225352113,0.5070422535211268,False
10,5,buffer_inverse_volatility,vol_target_30pct_max_1p25,0.3,1.25,overall,276,0.2062362067506942,0.7159397452436693,1.1775202335871096,-0.6003999220909086,0.3434980571490935,0.0049010250219558,0.002277034728462,0.0028535782216262,0.7585384827165295,38.230339528913085,0.0053945690593388,0.0007585384827165,3.257925771800792e-06,0.6363252677780786,0.5,1.1443760061661703,0.0471014492753623,0.9311594202898552,0.5688405797101449,False
10,5,buffer_inverse_volatility,vol_target_30pct_max_1p50,0.3,1.5,overall,276,0.2062362067506942,0.7159397452436693,1.1775202335871096,-0.6003999220909086,0.3434980571490935,0.0049010250219558,0.002277034728462,0.0028535782216262,0.7585384827165295,38.230339528913085,0.0053945690593388,0.0007585384827165,3.257925771800792e-06,0.6363252677780786,0.5,1.1443760061661703,0.0471014492753623,0.9311594202898552,0.5688405797101449,False
10,20,buffer_inverse_volatility,vol_target_30pct_max_1p25,0.3,1.25,overall,71,0.3024747399716876,0.9030352852767236,1.6054247489920133,-0.6890606785449002,0.4389667693858661,0.0263722316143479,0.0067186820940705,0.0073622946656994,1.0126973297478157,12.759986354822477,0.0237049422750652,0.0010126973297478,2.2097399396722608e-06,0.6720176028523726,0.5,1.039536667000616,0.0140845070422535,0.9014084507042254,0.5774647887323944,False
10,20,buffer_inverse_volatility,vol_target_30pct_max_1p50,0.3,1.5,overall,71,0.3024747399716876,0.9030352852767236,1.6054247489920133,-0.6890606785449002,0.4389667693858661,0.0263722316143479,0.0067186820940705,0.0073622946656994,1.0126973297478157,12.759986354822477,0.0237049422750652,0.0010126973297478,2.2097399396722608e-06,0.6720176028523726,0.5,1.039536667000616,0.0140845070422535,0.9014084507042254,0.5774647887323944,False
20,5,equal_weight,vol_target_25pct_max_1p25,0.25,1.25,overall,275,0.3624346441780819,1.1093582472151005,2.1024029877589654,-0.4787300180791607,0.7570752417663337,0.007197963305893,0.0019041286682715,0.0101271919658491,0.584216006649065,29.44448673511288,0.0123090834436544,0.000584216006649,7.691824455793953e-07,0.5243690418029358,0.5,1.1401359051021724,0.0072727272727272,0.9709090909090908,0.5636363636363636,False
20,5,equal_weight,vol_target_25pct_max_1p50,0.25,1.5,overall,275,0.3624346441780819,1.1093582472151005,2.1024029877589654,-0.4787300180791607,0.7570752417663337,0.007197963305893,0.0019041286682715,0.0101271919658491,0.584216006649065,29.44448673511288,0.0123090834436544,0.000584216006649,7.691824455793953e-07,0.5243690418029358,0.5,1.1401359051021724,0.0072727272727272,0.9709090909090908,0.5636363636363636,False
