model_horizon_days,rebalance_every_days,base_policy,exposure_policy,target_volatility,leverage_cap,period,num_rebalances,annualized_net_return,net_sharpe,net_sortino,max_drawdown,calmar,avg_net_return,avg_realized_return_ic,avg_model_target_ic,avg_turnover,annualized_turnover,return_per_annual_turnover,avg_transaction_cost,avg_financing_cost,avg_exposure,min_exposure,max_exposure,leveraged_period_share,deleveraged_period_share,net_hit_rate,pareto_return_sharpe_drawdown
5,5,equal_weight,static_1x,,1.0,overall,276,0.4868837125606149,0.9445171143896424,1.6547892544454263,-0.7683063224514699,0.6337104073373924,0.0116866683210037,0.0028663001197762,0.0028663001197762,1.297826086956522,65.4104347826087,0.0074435174476178,0.0012978260869565,0.0,1.0,1.0,1.0,0.0,0.0,0.5434782608695652,False
5,5,equal_weight,legacy_risk_scaled,,1.0,overall,276,0.3347122892096328,0.9742030340080896,1.5856734237652528,-0.542803491711094,0.6166362124062804,0.0070381483664617,0.0028663001197762,0.0028663001197762,0.6994202898550725,35.25078260869566,0.0094951732823958,0.000699420289855,0.0,0.5327898550724639,0.45,1.0,0.0,0.8731884057971014,0.5434782608695652,False
5,5,equal_weight,vol_target_20pct_max_1p25,0.2,1.25,overall,276,0.3103792987986331,1.00718006113936,1.8014847023199017,-0.4839154841891866,0.6413915424067944,0.0063688495436282,0.0028663001197762,0.0028663001197762,0.6653918119769496,33.53574732363826,0.009255177640841,0.0006653918119769,0.0,0.5111426687070885,0.5,1.0,0.0,0.9782608695652174,0.5434782608695652,False
5,5,equal_weight,regime_dd_vol_target_20pct_max_1p25,0.2,1.25,overall,276,0.2874746245760808,0.9622729044266222,1.6916719529777804,-0.4839154841891869,0.5940595702527521,0.0059878975082012,0.0028663001197762,0.0028663001197762,0.6542217889823448,32.97277816471018,0.0087185442227539,0.0006542217889823,0.0,0.5035286717025397,0.5,0.65,0.0,1.0,0.5434782608695652,False
5,5,equal_weight,vol_target_20pct_max_1p50,0.2,1.5,overall,276,0.3103792987986331,1.00718006113936,1.8014847023199017,-0.4839154841891866,0.6413915424067944,0.0063688495436282,0.0028663001197762,0.0028663001197762,0.6653918119769496,33.53574732363826,0.009255177640841,0.0006653918119769,0.0,0.5111426687070885,0.5,1.0,0.0,0.9782608695652174,0.5434782608695652,False
5,5,equal_weight,regime_dd_vol_target_20pct_max_1p50,0.2,1.5,overall,276,0.2874746245760808,0.9622729044266222,1.6916719529777804,-0.4839154841891869,0.5940595702527521,0.0059878975082012,0.0028663001197762,0.0028663001197762,0.6542217889823448,32.97277816471018,0.0087185442227539,0.0006542217889823,0.0,0.5035286717025397,0.5,0.65,0.0,1.0,0.5434782608695652,False
5,5,equal_weight,vol_target_25pct_max_1p25,0.25,1.25,overall,276,0.3067477321384788,0.9803902697455346,1.732634139685657,-0.5097602635288394,0.6017490065133818,0.0063693619410445,0.0028663001197762,0.0028663001197762,0.6835158952952076,34.44920112287846,0.0089043496551437,0.0006835158952952,0.0,0.5239117197488542,0.5,1.0,0.0,0.9782608695652174,0.5434782608695652,False
5,5,equal_weight,regime_dd_vol_target_25pct_max_1p25,0.25,1.25,overall,276,0.2829068210511001,0.9376051972671404,1.6272734393669257,-0.5074645065757049,0.557490853813823,0.0059593677283696,0.0028663001197762,0.0028663001197762,0.6676774615769345,33.650944063477496,0.0084070990851679,0.0006676774615769,0.0,0.5128719343883379,0.5,0.65,0.0,1.0,0.5434782608695652,False
5,5,equal_weight,vol_target_25pct_max_1p50,0.25,1.5,overall,276,0.3067477321384788,0.9803902697455346,1.732634139685657,-0.5097602635288394,0.6017490065133818,0.0063693619410445,0.0028663001197762,0.0028663001197762,0.6835158952952076,34.44920112287846,0.0089043496551437,0.0006835158952952,0.0,0.5239117197488542,0.5,1.0,0.0,0.9782608695652174,0.5434782608695652,False
5,5,equal_weight,regime_dd_vol_target_25pct_max_1p50,0.25,1.5,overall,276,0.2829068210511001,0.9376051972671404,1.6272734393669257,-0.5074645065757049,0.557490853813823,0.0059593677283696,0.0028663001197762,0.0028663001197762,0.6676774615769345,33.650944063477496,0.0084070990851679,0.0006676774615769,0.0,0.5128719343883379,0.5,0.65,0.0,1.0,0.5434782608695652,False
5,5,equal_weight,vol_target_30pct_max_1p25,0.3,1.25,overall,276,0.2901808576429734,0.8995602533007172,1.5179122954693354,-0.552777518219442,0.5249505417254998,0.0062807742416675,0.0028663001197762,0.0028663001197762,0.729130017678364,36.748152890989545,0.0078964746474134,0.0007291300176783,0.0,0.5586009592077791,0.5,1.0,0.0,0.9782608695652174,0.5434782608695652,False
5,5,equal_weight,regime_dd_vol_target_30pct_max_1p25,0.3,1.25,overall,276,0.2685069944539848,0.8826184280420203,1.5028387909055976,-0.521348324250672,0.5150241824214298,0.0058065180630055,0.0028663001197762,0.0028663001197762,0.6882316588033215,34.686875603687405,0.0077408815230807,0.0006882316588033,0.0,0.5284051029816679,0.5,0.6754706933606056,0.0,1.0,0.5434782608695652,False
5,5,equal_weight,vol_target_30pct_max_1p50,0.3,1.5,overall,276,0.2901808576429734,0.8995602533007172,1.5179122954693354,-0.552777518219442,0.5249505417254998,0.0062807742416675,0.0028663001197762,0.0028663001197762,0.729130017678364,36.748152890989545,0.0078964746474134,0.0007291300176783,0.0,0.5586009592077791,0.5,1.0,0.0,0.9782608695652174,0.5434782608695652,False
5,5,equal_weight,regime_dd_vol_target_30pct_max_1p50,0.3,1.5,overall,276,0.2685069944539848,0.8826184280420203,1.5028387909055976,-0.521348324250672,0.5150241824214298,0.0058065180630055,0.0028663001197762,0.0028663001197762,0.6882316588033215,34.686875603687405,0.0077408815230807,0.0006882316588033,0.0,0.5284051029816679,0.5,0.6754706933606056,0.0,1.0,0.5434782608695652,False
5,5,buffer_inverse_volatility,static_1x,,1.0,overall,276,0.4050948110626997,0.8661547046626457,1.4580843664827334,-0.7972555400997255,0.5081116288160606,0.0103100007864557,0.0028663001197762,0.0028663001197762,1.190433527625843,59.9978497923425,0.0067518221480397,0.0011904335276258,0.0,1.0,1.0,1.0,0.0,0.0,0.5507246376811594,False
5,5,buffer_inverse_volatility,legacy_risk_scaled,,1.0,overall,276,0.2978243923370633,0.9102709024040172,1.444269989658508,-0.5786322592037293,0.5147040933163788,0.0064158516931018,0.0028663001197762,0.0028663001197762,0.6443009583809904,32.47276830240192,0.009171512251853,0.0006443009583809,0.0,0.5327898550724639,0.45,1.0,0.0,0.8731884057971014,0.5507246376811594,False
5,5,buffer_inverse_volatility,vol_target_20pct_max_1p25,0.2,1.25,overall,276,0.2681195639695775,0.928591430197712,1.5905611696062174,-0.5192373525036788,0.5163718724717091,0.0056467190565431,0.0028663001197762,0.0028663001197762,0.6109785207890063,30.793317447765915,0.0087070697863061,0.000610978520789,0.0,0.5120045338044283,0.5,1.0,0.0,0.9782608695652174,0.5507246376811594,False
5,5,buffer_inverse_volatility,regime_dd_vol_target_20pct_max_1p25,0.2,1.25,overall,276,0.2482748153769569,0.8859241372243933,1.498465165372375,-0.5192373525036786,0.4781528412388205,0.0053056547963123,0.0028663001197762,0.0028663001197762,0.6005549839351428,30.2679711903312,0.0082025588638152,0.0006005549839351,0.0,0.5043020767919211,0.5,0.65,0.0,1.0,0.5507246376811594,False
5,5,buffer_inverse_volatility,vol_target_20pct_max_1p50,0.2,1.5,overall,276,0.2681195639695775,0.928591430197712,1.5905611696062174,-0.5192373525036788,0.5163718724717091,0.0056467190565431,0.0028663001197762,0.0028663001197762,0.6109785207890063,30.793317447765915,0.0087070697863061,0.000610978520789,0.0,0.5120045338044283,0.5,1.0,0.0,0.9782608695652174,0.5507246376811594,False
5,5,buffer_inverse_volatility,regime_dd_vol_target_20pct_max_1p50,0.2,1.5,overall,276,0.2482748153769569,0.8859241372243933,1.498465165372375,-0.5192373525036786,0.4781528412388205,0.0053056547963123,0.0028663001197762,0.0028663001197762,0.6005549839351428,30.2679711903312,0.0082025588638152,0.0006005549839351,0.0,0.5043020767919211,0.5,0.65,0.0,1.0,0.5507246376811594,False
5,5,buffer_inverse_volatility,vol_target_25pct_max_1p25,0.25,1.25,overall,276,0.2638827609693037,0.8985756121764304,1.5314279541565354,-0.5450441561658417,0.4841493262226842,0.0056413109026344,0.0028663001197762,0.0028663001197762,0.631316280575893,31.818340541025005,0.0082934168307447,0.0006313162805758,0.0,0.5298485865593925,0.5,1.0,0.0,0.9782608695652174,0.5507246376811594,False
5,5,buffer_inverse_volatility,regime_dd_vol_target_25pct_max_1p25,0.25,1.25,overall,276,0.2437696953017893,0.8644807225520122,1.4507518485809257,-0.5417826780915971,0.449939994686534,0.0052644119850404,0.0028663001197762,0.0028663001197762,0.6097123069179897,30.72950026866668,0.0079327582020703,0.0006097123069179,0.0,0.5126931649028619,0.5,0.65,0.0,1.0,0.5507246376811594,False
5,5,buffer_inverse_volatility,vol_target_25pct_max_1p50,0.25,1.5,overall,276,0.2638827609693037,0.8985756121764304,1.5314279541565354,-0.5450441561658417,0.4841493262226842,0.0056413109026344,0.0028663001197762,0.0028663001197762,0.631316280575893,31.818340541025005,0.0082934168307447,0.0006313162805758,0.0,0.5298485865593925,0.5,1.0,0.0,0.9782608695652174,0.5507246376811594,False
5,5,buffer_inverse_volatility,regime_dd_vol_target_25pct_max_1p50,0.25,1.5,overall,276,0.2437696953017893,0.8644807225520122,1.4507518485809257,-0.5417826780915971,0.449939994686534,0.0052644119850404,0.0028663001197762,0.0028663001197762,0.6097123069179897,30.72950026866668,0.0079327582020703,0.0006097123069179,0.0,0.5126931649028619,0.5,0.65,0.0,1.0,0.5507246376811594,False
5,5,buffer_inverse_volatility,vol_target_30pct_max_1p25,0.3,1.25,overall,276,0.2600730265364446,0.8444374424329566,1.3922980538746668,-0.5829086247534564,0.4461643137403286,0.0057605289031982,0.0028663001197762,0.0028663001197762,0.6803742191792197,34.29086064663267,0.0075843248501837,0.0006803742191792,0.0,0.5723609888348962,0.5,1.0,0.0,0.9782608695652174,0.5507246376811594,False
5,5,buffer_inverse_volatility,regime_dd_vol_target_30pct_max_1p25,0.3,1.25,overall,276,0.2393016106104655,0.833105047908056,1.3764484873149498,-0.5473862447994551,0.4371713993254215,0.0052627852480145,0.0028663001197762,0.0028663001197762,0.6259918561377062,31.549989549340395,0.0075848396157541,0.0006259918561377,0.0,0.5265900361757999,0.5,0.7236502488211195,0.0,1.0,0.5507246376811594,False
5,5,buffer_inverse_volatility,vol_target_30pct_max_1p50,0.3,1.5,overall,276,0.2600730265364446,0.8444374424329566,1.3922980538746668,-0.5829086247534564,0.4461643137403286,0.0057605289031982,0.0028663001197762,0.0028663001197762,0.6803742191792197,34.29086064663267,0.0075843248501837,0.0006803742191792,0.0,0.5723609888348962,0.5,1.0,0.0,0.9782608695652174,0.5507246376811594,False
5,5,buffer_inverse_volatility,regime_dd_vol_target_30pct_max_1p50,0.3,1.5,overall,276,0.2393016106104655,0.833105047908056,1.3764484873149498,-0.5473862447994551,0.4371713993254215,0.0052627852480145,0.0028663001197762,0.0028663001197762,0.6259918561377062,31.549989549340395,0.0075848396157541,0.0006259918561377,0.0,0.5265900361757999,0.5,0.7236502488211195,0.0,1.0,0.5507246376811594,False
5,10,equal_weight,static_1x,,1.0,overall,140,0.5913538165421077,1.0658046296523345,2.074344267598205,-0.8127127498139648,0.7276295550641632,0.0257104091613973,0.0015592847970898,0.0045524636531632,1.4371428571428573,36.216,0.0163285237613791,0.0014371428571428,0.0,1.0,1.0,1.0,0.0,0.0,0.5642857142857143,False
5,10,equal_weight,legacy_risk_scaled,,1.0,overall,140,0.3820325319892088,1.0900601961651102,2.077763183626564,-0.5464268555013192,0.6991466984885162,0.015296809008623,0.0015592847970898,0.0045524636531632,0.7767857142857145,19.575000000000006,0.0195163490160515,0.0007767857142857,0.0,0.5335714285714287,0.45,1.0,0.0,0.8714285714285714,0.5642857142857143,False
5,10,equal_weight,vol_target_20pct_max_1p25,0.2,1.25,overall,140,0.3429972249372464,1.0913017641182448,2.1679874643134514,-0.5413518157244809,0.6335939309231275,0.0137073698080784,0.0015592847970898,0.0045524636531632,0.7508753578981566,18.922059019033547,0.0181268446838807,0.0007508753578981,0.0,0.5215091075205068,0.5,1.0,0.0,0.9571428571428572,0.5642857142857143,False
5,10,equal_weight,regime_dd_vol_target_20pct_max_1p25,0.2,1.25,overall,140,0.3232475572360933,1.0667420567809869,2.1005185126592796,-0.5413518157244809,0.5971118002135031,0.013005624458875,0.0015592847970898,0.0045524636531632,0.7333753578981566,18.481059019033545,0.0174907486039183,0.0007333753578981,0.0,0.5090091075205069,0.5,1.0,0.0,0.9928571428571428,0.5642857142857143,False
5,10,equal_weight,vol_target_20pct_max_1p50,0.2,1.5,overall,140,0.3429972249372464,1.0913017641182448,2.1679874643134514,-0.5413518157244809,0.6335939309231275,0.0137073698080784,0.0015592847970898,0.0045524636531632,0.7508753578981566,18.922059019033547,0.0181268446838807,0.0007508753578981,0.0,0.5215091075205068,0.5,1.0,0.0,0.9571428571428572,0.5642857142857143,False
5,10,equal_weight,regime_dd_vol_target_20pct_max_1p50,0.2,1.5,overall,140,0.3232475572360933,1.0667420567809869,2.1005185126592796,-0.5413518157244809,0.5971118002135031,0.013005624458875,0.0015592847970898,0.0045524636531632,0.7333753578981566,18.481059019033545,0.0174907486039183,0.0007333753578981,0.0,0.5090091075205069,0.5,1.0,0.0,0.9928571428571428,0.5642857142857143,False
5,10,equal_weight,vol_target_25pct_max_1p25,0.25,1.25,overall,140,0.355767176067407,1.103577505672239,2.199983068095451,-0.54802196059533,0.6491841598481349,0.0141760294402642,0.0015592847970898,0.0045524636531632,0.7714742456764211,19.44115099104581,0.0182996971851752,0.0007714742456764,0.0,0.534194515524914,0.5,1.0,0.0,0.9571428571428572,0.5642857142857143,False
