model_horizon_days,rebalance_every_days,base_policy,exposure_policy,years,years_beating_static_sharpe,years_beating_static_return,years_beating_static_drawdown
5,5,buffer_inverse_volatility,legacy_risk_scaled,6,3,1,6
5,5,buffer_inverse_volatility,regime_dd_vol_target_20pct_max_1p25,6,1,2,6
5,5,buffer_inverse_volatility,regime_dd_vol_target_20pct_max_1p50,6,1,2,6
5,5,buffer_inverse_volatility,regime_dd_vol_target_25pct_max_1p25,6,3,2,6
5,5,buffer_inverse_volatility,regime_dd_vol_target_25pct_max_1p50,6,3,2,6
5,5,buffer_inverse_volatility,regime_dd_vol_target_30pct_max_1p25,6,0,2,6
5,5,buffer_inverse_volatility,regime_dd_vol_target_30pct_max_1p50,6,0,2,6
5,5,buffer_inverse_volatility,static_1x,6,0,0,0
5,5,buffer_inverse_volatility,vol_target_20pct_max_1p25,6,1,2,6
5,5,buffer_inverse_volatility,vol_target_20pct_max_1p50,6,1,2,6
5,5,buffer_inverse_volatility,vol_target_25pct_max_1p25,6,3,2,6
5,5,buffer_inverse_volatility,vol_target_25pct_max_1p50,6,3,2,6
5,5,buffer_inverse_volatility,vol_target_30pct_max_1p25,6,1,2,6
5,5,buffer_inverse_volatility,vol_target_30pct_max_1p50,6,1,2,6
5,5,equal_weight,legacy_risk_scaled,6,5,1,6
5,5,equal_weight,regime_dd_vol_target_20pct_max_1p25,6,1,2,6
5,5,equal_weight,regime_dd_vol_target_20pct_max_1p50,6,1,2,6
5,5,equal_weight,regime_dd_vol_target_25pct_max_1p25,6,3,2,6
5,5,equal_weight,regime_dd_vol_target_25pct_max_1p50,6,3,2,6
5,5,equal_weight,regime_dd_vol_target_30pct_max_1p25,6,1,2,6
5,5,equal_weight,regime_dd_vol_target_30pct_max_1p50,6,1,2,6
5,5,equal_weight,static_1x,6,0,0,0
5,5,equal_weight,vol_target_20pct_max_1p25,6,1,2,6
5,5,equal_weight,vol_target_20pct_max_1p50,6,1,2,6
5,5,equal_weight,vol_target_25pct_max_1p25,6,3,2,6
5,5,equal_weight,vol_target_25pct_max_1p50,6,3,2,6
5,5,equal_weight,vol_target_30pct_max_1p25,6,2,2,6
5,5,equal_weight,vol_target_30pct_max_1p50,6,2,2,6
5,10,buffer_inverse_volatility,legacy_risk_scaled,6,2,1,6
5,10,buffer_inverse_volatility,regime_dd_vol_target_20pct_max_1p25,6,1,2,6
5,10,buffer_inverse_volatility,regime_dd_vol_target_20pct_max_1p50,6,1,2,6
5,10,buffer_inverse_volatility,regime_dd_vol_target_25pct_max_1p25,6,1,2,6
5,10,buffer_inverse_volatility,regime_dd_vol_target_25pct_max_1p50,6,1,2,6
5,10,buffer_inverse_volatility,regime_dd_vol_target_30pct_max_1p25,6,2,1,6
5,10,buffer_inverse_volatility,regime_dd_vol_target_30pct_max_1p50,6,2,1,6
5,10,buffer_inverse_volatility,static_1x,6,0,0,0
5,10,buffer_inverse_volatility,vol_target_20pct_max_1p25,6,1,2,6
5,10,buffer_inverse_volatility,vol_target_20pct_max_1p50,6,1,2,6
5,10,buffer_inverse_volatility,vol_target_25pct_max_1p25,6,3,2,6
5,10,buffer_inverse_volatility,vol_target_25pct_max_1p50,6,3,2,6
5,10,buffer_inverse_volatility,vol_target_30pct_max_1p25,6,3,2,6
5,10,buffer_inverse_volatility,vol_target_30pct_max_1p50,6,3,2,6
5,10,equal_weight,legacy_risk_scaled,6,2,1,6
5,10,equal_weight,regime_dd_vol_target_20pct_max_1p25,6,1,2,6
5,10,equal_weight,regime_dd_vol_target_20pct_max_1p50,6,1,2,6
5,10,equal_weight,regime_dd_vol_target_25pct_max_1p25,6,1,2,6
5,10,equal_weight,regime_dd_vol_target_25pct_max_1p50,6,1,2,6
5,10,equal_weight,regime_dd_vol_target_30pct_max_1p25,6,3,1,6
5,10,equal_weight,regime_dd_vol_target_30pct_max_1p50,6,3,1,6
5,10,equal_weight,static_1x,6,0,0,0
5,10,equal_weight,vol_target_20pct_max_1p25,6,1,2,6
5,10,equal_weight,vol_target_20pct_max_1p50,6,1,2,6
5,10,equal_weight,vol_target_25pct_max_1p25,6,3,2,6
5,10,equal_weight,vol_target_25pct_max_1p50,6,3,2,6
5,10,equal_weight,vol_target_30pct_max_1p25,6,4,2,6
5,10,equal_weight,vol_target_30pct_max_1p50,6,4,2,6
5,20,buffer_inverse_volatility,legacy_risk_scaled,6,0,2,6
5,20,buffer_inverse_volatility,regime_dd_vol_target_20pct_max_1p25,6,0,2,6
5,20,buffer_inverse_volatility,regime_dd_vol_target_20pct_max_1p50,6,0,2,6
5,20,buffer_inverse_volatility,regime_dd_vol_target_25pct_max_1p25,6,0,2,6
5,20,buffer_inverse_volatility,regime_dd_vol_target_25pct_max_1p50,6,0,2,6
5,20,buffer_inverse_volatility,regime_dd_vol_target_30pct_max_1p25,6,0,2,6
5,20,buffer_inverse_volatility,regime_dd_vol_target_30pct_max_1p50,6,0,2,6
5,20,buffer_inverse_volatility,static_1x,6,0,0,0
5,20,buffer_inverse_volatility,vol_target_20pct_max_1p25,6,1,2,6
5,20,buffer_inverse_volatility,vol_target_20pct_max_1p50,6,1,2,6
5,20,buffer_inverse_volatility,vol_target_25pct_max_1p25,6,1,2,6
5,20,buffer_inverse_volatility,vol_target_25pct_max_1p50,6,1,2,6
5,20,buffer_inverse_volatility,vol_target_30pct_max_1p25,6,2,2,6
5,20,buffer_inverse_volatility,vol_target_30pct_max_1p50,6,2,2,6
5,20,equal_weight,legacy_risk_scaled,6,1,2,6
5,20,equal_weight,regime_dd_vol_target_20pct_max_1p25,6,0,2,6
5,20,equal_weight,regime_dd_vol_target_20pct_max_1p50,6,0,2,6
5,20,equal_weight,regime_dd_vol_target_25pct_max_1p25,6,0,2,6
5,20,equal_weight,regime_dd_vol_target_25pct_max_1p50,6,0,2,6
5,20,equal_weight,regime_dd_vol_target_30pct_max_1p25,6,0,2,6
5,20,equal_weight,regime_dd_vol_target_30pct_max_1p50,6,0,2,6
5,20,equal_weight,static_1x,6,0,0,0
5,20,equal_weight,vol_target_20pct_max_1p25,6,1,2,6
5,20,equal_weight,vol_target_20pct_max_1p50,6,1,2,6
5,20,equal_weight,vol_target_25pct_max_1p25,6,1,2,6
5,20,equal_weight,vol_target_25pct_max_1p50,6,1,2,6
5,20,equal_weight,vol_target_30pct_max_1p25,6,2,2,6
5,20,equal_weight,vol_target_30pct_max_1p50,6,2,2,6
10,5,buffer_inverse_volatility,legacy_risk_scaled,6,2,1,6
10,5,buffer_inverse_volatility,regime_dd_vol_target_20pct_max_1p25,6,2,2,6
10,5,buffer_inverse_volatility,regime_dd_vol_target_20pct_max_1p50,6,2,2,6
10,5,buffer_inverse_volatility,regime_dd_vol_target_25pct_max_1p25,6,2,2,6
10,5,buffer_inverse_volatility,regime_dd_vol_target_25pct_max_1p50,6,2,2,6
10,5,buffer_inverse_volatility,regime_dd_vol_target_30pct_max_1p25,6,3,2,6
10,5,buffer_inverse_volatility,regime_dd_vol_target_30pct_max_1p50,6,3,2,6
10,5,buffer_inverse_volatility,static_1x,6,0,0,0
10,5,buffer_inverse_volatility,vol_target_20pct_max_1p25,6,3,2,6
10,5,buffer_inverse_volatility,vol_target_20pct_max_1p50,6,3,2,6
10,5,buffer_inverse_volatility,vol_target_25pct_max_1p25,6,2,2,6
10,5,buffer_inverse_volatility,vol_target_25pct_max_1p50,6,2,2,6
10,5,buffer_inverse_volatility,vol_target_30pct_max_1p25,6,3,2,5
10,5,buffer_inverse_volatility,vol_target_30pct_max_1p50,6,3,2,5
10,5,equal_weight,legacy_risk_scaled,6,4,2,6
10,5,equal_weight,regime_dd_vol_target_20pct_max_1p25,6,3,2,6
10,5,equal_weight,regime_dd_vol_target_20pct_max_1p50,6,3,2,6
10,5,equal_weight,regime_dd_vol_target_25pct_max_1p25,6,2,2,6
10,5,equal_weight,regime_dd_vol_target_25pct_max_1p50,6,2,2,6
10,5,equal_weight,regime_dd_vol_target_30pct_max_1p25,6,1,2,6
10,5,equal_weight,regime_dd_vol_target_30pct_max_1p50,6,1,2,6
10,5,equal_weight,static_1x,6,0,0,0
10,5,equal_weight,vol_target_20pct_max_1p25,6,3,2,6
10,5,equal_weight,vol_target_20pct_max_1p50,6,3,2,6
10,5,equal_weight,vol_target_25pct_max_1p25,6,2,2,6
10,5,equal_weight,vol_target_25pct_max_1p50,6,2,2,6
10,5,equal_weight,vol_target_30pct_max_1p25,6,2,2,6
10,5,equal_weight,vol_target_30pct_max_1p50,6,2,2,6
10,10,buffer_inverse_volatility,legacy_risk_scaled,6,1,1,6
10,10,buffer_inverse_volatility,regime_dd_vol_target_20pct_max_1p25,6,1,2,6
