model_horizon_days,rebalance_every_days,base_policy,exposure_policy,target_volatility,leverage_cap,period,num_rebalances,annualized_net_return,net_sharpe,net_sortino,max_drawdown,calmar,avg_net_return,avg_realized_return_ic,avg_model_target_ic,avg_turnover,annualized_turnover,return_per_annual_turnover,avg_transaction_cost,avg_financing_cost,avg_exposure,min_exposure,max_exposure,leveraged_period_share,deleveraged_period_share,net_hit_rate,pareto_return_sharpe_drawdown
5,5,equal_weight,static_1x,,1.0,overall,276,0.4868837125606149,0.9445171143896424,1.6547892544454263,-0.7683063224514699,0.6337104073373924,0.0116866683210037,0.0028663001197762,0.0028663001197762,1.297826086956522,65.4104347826087,0.0074435174476178,0.0012978260869565,0.0,1.0,1.0,1.0,0.0,0.0,0.5434782608695652,False
5,5,buffer_inverse_volatility,static_1x,,1.0,overall,276,0.4050948110626997,0.8661547046626457,1.4580843664827334,-0.7972555400997255,0.5081116288160606,0.0103100007864557,0.0028663001197762,0.0028663001197762,1.190433527625843,59.9978497923425,0.0067518221480397,0.0011904335276258,0.0,1.0,1.0,1.0,0.0,0.0,0.5507246376811594,False
5,10,equal_weight,static_1x,,1.0,overall,140,0.5913538165421077,1.0658046296523345,2.074344267598205,-0.8127127498139648,0.7276295550641632,0.0257104091613973,0.0015592847970898,0.0045524636531632,1.4371428571428573,36.216,0.0163285237613791,0.0014371428571428,0.0,1.0,1.0,1.0,0.0,0.0,0.5642857142857143,False
5,10,buffer_inverse_volatility,static_1x,,1.0,overall,140,0.6707230532471999,1.1313799533455298,2.1779777138610186,-0.8153802968610202,0.8225892333053557,0.0279514119713555,0.0015592847970898,0.0045524636531632,1.3837447298923404,34.87036719328698,0.0192347573952798,0.0013837447298923,0.0,1.0,1.0,1.0,0.0,0.0,0.55,False
5,20,equal_weight,static_1x,,1.0,overall,71,0.3040791089941641,0.7043846006553581,1.635456047374631,-0.7667421693696383,0.3965858682901928,0.0368097059955067,0.0057292941656191,0.008575365833759,1.5211267605633805,19.16619718309859,0.0158653856103657,0.0015211267605633,0.0,1.0,1.0,1.0,0.0,0.0,0.5211267605633803,False
5,20,buffer_inverse_volatility,static_1x,,1.0,overall,71,0.3211954873363929,0.7229056004577844,1.6606065042488238,-0.7782558708210688,0.4127119362395917,0.0382778494081627,0.0057292941656191,0.008575365833759,1.4289723868835071,18.00505207473219,0.0178391868017504,0.0014289723868835,0.0,1.0,1.0,1.0,0.0,0.0,0.5070422535211268,False
10,5,equal_weight,static_1x,,1.0,overall,276,0.3374248883124489,0.7938427340136541,1.3677675353753962,-0.705952931000024,0.4779708015865401,0.0090131430447569,0.002277034728462,0.0028535782216262,1.260144927536232,63.51130434782609,0.0053128319718409,0.0012601449275362,0.0,1.0,1.0,1.0,0.0,0.0,0.5543478260869565,False
10,5,buffer_inverse_volatility,static_1x,,1.0,overall,276,0.2757200631812095,0.7188295751907847,1.1754138097063993,-0.7777810975319088,0.3544957110119252,0.0078232495021536,0.002277034728462,0.0028535782216262,1.163534756019352,58.64215170337533,0.0047017385135501,0.0011635347560193,0.0,1.0,1.0,1.0,0.0,0.0,0.5688405797101449,False
10,10,equal_weight,static_1x,,1.0,overall,140,0.6229619894368643,1.066498725156043,2.184959108809946,-0.7974074435627047,0.7812342290831366,0.0268435670566386,-0.0011540523006514,-0.0011540523006514,1.4557142857142855,36.684,0.0169818446580761,0.0014557142857142,0.0,1.0,1.0,1.0,0.0,0.0,0.5571428571428572,False
10,10,buffer_inverse_volatility,static_1x,,1.0,overall,140,0.6332406322743867,1.1091248322745817,2.118015454562258,-0.8056860901985008,0.7859644593322594,0.0265215195283839,-0.0011540523006514,-0.0011540523006514,1.3998226058766818,35.27552966809238,0.0179512721207179,0.0013998226058766,0.0,1.0,1.0,1.0,0.0,0.0,0.55,False
