policy,scenario,fees_bps,spread_bps,slippage_bps,cash_rate_annual,financing_rate_annual,total_trading_cost_bps,avg_net_5d_return,avg_excess_5d_return,annualized_net_return,net_sharpe,excess_sharpe,max_drawdown
baseline_equal_weight,current_assumption,10.0,0.0,0.0,0.0,0.0,10.0,0.01168666832100376,0.0066658475925479655,0.4868837125606149,0.9445171143896425,0.6729743137445574,-0.7683063224514697
baseline_equal_weight,institutional_low,1.0,2.0,2.0,0.03,0.055,5.0,0.012335581364482017,0.0073147606360262265,0.5361071621503666,0.9969844672253743,0.7385111954847109,-0.7596556438435389
baseline_equal_weight,realistic_base,2.0,5.0,5.0,0.03,0.06,12.0,0.011427103103612455,0.006406282375156662,0.4676295841793785,0.9235299261571644,0.6467597480048204,-0.7716803754611443
baseline_equal_weight,conservative,5.0,10.0,15.0,0.02,0.08,30.0,0.009091016147090715,0.004070195418634921,0.30497093977081313,0.7346454577575517,0.41084628235370046,-0.8010919533119846
baseline_equal_weight,stress,10.0,20.0,30.0,0.0,0.1,60.0,0.00519753788622115,0.0001767171577653573,0.07223660783282382,0.41989151568891214,0.0178300939897088,-0.8608882147025757
turnover_buffer_inverse_volatility_risk_scaled,current_assumption,10.0,0.0,0.0,0.0,0.0,10.0,0.006445174312972253,0.0034397200901389994,0.2998458955181975,0.9150768670453101,0.619567019362792,-0.5786322592037292
turnover_buffer_inverse_volatility_risk_scaled,institutional_low,1.0,2.0,2.0,0.03,0.055,5.0,0.007042567448372755,0.004037113225539504,0.3393384000676165,0.9994887871855095,0.7267946917216324,-0.5548978760094012
turnover_buffer_inverse_volatility_risk_scaled,realistic_base,2.0,5.0,5.0,0.03,0.06,12.0,0.006589945469775854,0.003584491246942602,0.3093930744662132,0.9361604643348544,0.6460211422480241,-0.5709614639953214
turnover_buffer_inverse_volatility_risk_scaled,conservative,5.0,10.0,15.0,0.02,0.08,30.0,0.005335575925772271,0.0023301217029390183,0.22974625461263232,0.7597314763548255,0.42105224413329906,-0.6133489867960593
turnover_buffer_inverse_volatility_risk_scaled,stress,10.0,20.0,30.0,0.0,0.1,60.0,0.0032121601801372384,0.00020670595730398595,0.10556507555309591,0.4590331870419977,0.03749965280905064,-0.6760969254392171
