policy,factor,observations,mean_invested_sleeve_exposure,median_invested_sleeve_exposure,mean_cash_scaled_exposure,median_cash_scaled_exposure,p10_cash_scaled_exposure,p90_cash_scaled_exposure,share_positive,mean_factor_coverage,minimum_factor_coverage
baseline_equal_weight,book_to_market,276,0.2206049095838343,-0.023628654779415503,0.2206049095838343,-0.023628654779415503,-0.6645298644152702,1.4712441278292874,0.4855072463768116,0.558695652173913,0.1
baseline_equal_weight,earnings_yield,275,-1.1294341732841866,-1.0614557476893316,-1.1294341732841866,-1.0614557476893316,-2.0802879164984147,-0.2295956602100969,0.025454545454545455,0.6108695652173914,0.0
baseline_equal_weight,gross_profitability,275,-0.5194500956764824,-0.5784016640313,-0.5194500956764824,-0.5784016640313,-1.1810771176216825,0.13187203105450696,0.16727272727272727,0.5467391304347826,0.0
baseline_equal_weight,leverage,276,-0.5148736170425507,-0.5116929023585004,-0.5148736170425507,-0.5116929023585004,-1.0906422583871414,0.10437957109590393,0.13405797101449277,0.8304347826086959,0.5
baseline_equal_weight,operating_profitability,276,-1.296118932452581,-1.2656414408125465,-1.296118932452581,-1.2656414408125465,-1.9602816385694832,-0.6428544277915967,0.007246376811594203,0.8134057971014493,0.4
baseline_equal_weight,quality,276,-1.2069403120358306,-1.1753754038172857,-1.2069403120358306,-1.1753754038172857,-1.9045385267843291,-0.5770985454908788,0.0036231884057971015,0.8543478260869565,0.4
baseline_equal_weight,roa,276,-1.241352976464637,-1.220768959291176,-1.241352976464637,-1.220768959291176,-2.014497178037679,-0.5308695153341554,0.010869565217391304,0.8518115942028986,0.4
baseline_equal_weight,roe,276,-0.8012805161523566,-0.7713133025621877,-0.8012805161523566,-0.7713133025621877,-1.3744701310300715,-0.3379105833852335,0.0036231884057971015,0.760144927536232,0.30000000000000004
baseline_equal_weight,size,276,-1.8303723783689059,-1.875960046964468,-1.8303723783689059,-1.875960046964468,-2.648885621898087,-0.9979519240675723,0.0036231884057971015,0.663768115942029,0.1
baseline_equal_weight,value,276,-0.6538845213396058,-0.690701684184734,-0.6538845213396058,-0.690701684184734,-1.1581574918955084,-0.08215879549742755,0.07971014492753623,0.6224637681159421,0.1
turnover_buffer_inverse_volatility_risk_scaled,book_to_market,276,0.21645113175648853,-0.009518607058614643,0.10814711701804673,-0.00428337317637659,-0.3349480173136835,0.7951134870556633,0.4963768115942029,0.56460160600931,0.0958127687633011
turnover_buffer_inverse_volatility_risk_scaled,earnings_yield,275,-1.0910230691131388,-1.0584028182877803,-0.566712925655214,-0.5245706102013596,-1.1980847266758774,-0.08637462362611023,0.03272727272727273,0.6126947397858288,0.0
turnover_buffer_inverse_volatility_risk_scaled,gross_profitability,275,-0.5236453184001032,-0.586076464174865,-0.27914608224409665,-0.2918863769443486,-0.6155769535267076,0.12121074104605815,0.16727272727272727,0.5553768522144578,0.0
turnover_buffer_inverse_volatility_risk_scaled,leverage,276,-0.5290419771785427,-0.530096359144882,-0.2797054387205031,-0.25480696408178116,-0.6057491863174125,0.06353591355934374,0.12681159420289856,0.8326417686044757,0.4130739025901862
turnover_buffer_inverse_volatility_risk_scaled,operating_profitability,276,-1.261291871552826,-1.259938732393921,-0.6666284507461699,-0.5987010319337969,-1.0970996854125294,-0.25725526170384927,0.0036231884057971015,0.8204326742767927,0.3642612030160332
turnover_buffer_inverse_volatility_risk_scaled,quality,276,-1.1810798540236829,-1.1849818220142665,-0.6270404322654383,-0.5776005237771239,-1.075279084901062,-0.2663651912916851,0.0036231884057971015,0.8611880005184784,0.3642612030160332
turnover_buffer_inverse_volatility_risk_scaled,roa,276,-1.2153261783129565,-1.22185269213698,-0.6410376391678153,-0.6040043756865672,-1.085101672884846,-0.23863855592798447,0.010869565217391304,0.8581697769874699,0.3642612030160332
turnover_buffer_inverse_volatility_risk_scaled,roe,276,-0.7948798888381705,-0.7494616549850487,-0.4244576780032866,-0.37945065975322856,-0.7597334757633367,-0.14626501359255323,0.007246376811594203,0.7682746780068392,0.3519774125636878
turnover_buffer_inverse_volatility_risk_scaled,size,276,-1.769825720102942,-1.7889614968049774,-0.939029511452415,-0.8621423109075927,-1.5080914360048694,-0.3935111150679845,0.0,0.6650191024831706,0.1823088829293882
turnover_buffer_inverse_volatility_risk_scaled,value,276,-0.6271809336118558,-0.6586834767679778,-0.3300092826888726,-0.31832547833215913,-0.6750531185434645,-0.041135813153312904,0.07971014492753623,0.6253702961753311,0.0967734581719269
