rebalance_date,policy,factor,factor_column,portfolio_exposure,covered_normalized_weight,covered_portfolio_weight,invested_sleeve_exposure,cash_scaled_exposure,raw_weighted_contribution
2026-06-11,baseline_equal_weight,book_to_market,book_to_market_z,1.0,0.5,0.5,-0.6495098834104613,-0.6495098834104613,-0.32475494170523067
2026-06-11,baseline_equal_weight,earnings_yield,earnings_yield_z,1.0,0.7,0.7,-0.1392025799131218,-0.1392025799131218,-0.09744180593918525
2026-06-11,baseline_equal_weight,gross_profitability,gross_profitability_z,1.0,0.7,0.7,0.10016409674400537,0.10016409674400537,0.07011486772080375
2026-06-11,baseline_equal_weight,leverage,leverage_z,1.0,0.9,0.9,-0.16114226440357673,-0.16114226440357673,-0.14502803796321906
2026-06-11,baseline_equal_weight,operating_profitability,operating_profitability_z,1.0,1.0,1.0,-0.8032224174279008,-0.8032224174279008,-0.8032224174279008
2026-06-11,baseline_equal_weight,quality,quality_composite_z,1.0,1.0,1.0,-0.7668104577690378,-0.7668104577690378,-0.7668104577690378
2026-06-11,baseline_equal_weight,roa,roa_z,1.0,1.0,1.0,-0.7105285774629587,-0.7105285774629587,-0.7105285774629587
2026-06-11,baseline_equal_weight,roe,roe_z,1.0,0.8,0.8,-0.4940678736728208,-0.4940678736728208,-0.39525429893825664
2026-06-11,baseline_equal_weight,size,log_market_cap_z,1.0,0.7,0.7,-0.222940651715128,-0.222940651715128,-0.15605845620058958
2026-06-11,baseline_equal_weight,value,value_composite_z,1.0,0.7,0.7,-0.30577265394716774,-0.30577265394716774,-0.2140408577630174
2026-06-11,turnover_buffer_inverse_volatility_risk_scaled,book_to_market,book_to_market_z,0.45,0.4540170705620425,0.204307681752919,-0.619547966475263,-0.2787965849138684,-0.12657840876529614
2026-06-11,turnover_buffer_inverse_volatility_risk_scaled,earnings_yield,earnings_yield_z,0.45,0.6956669241617545,0.3130501158727893,-0.07168751126552467,-0.0322593800694861,-0.022441783708304477
2026-06-11,turnover_buffer_inverse_volatility_risk_scaled,gross_profitability,gross_profitability_z,0.45,0.6524343586131014,0.2935954613758955,0.6797244545084109,0.30587600452878494,0.1995640148298759
2026-06-11,turnover_buffer_inverse_volatility_risk_scaled,leverage,leverage_z,0.45,0.8836827160195313,0.39765722220878885,0.1722166465065224,0.07749749092793509,0.06848319326789666
2026-06-11,turnover_buffer_inverse_volatility_risk_scaled,operating_profitability,operating_profitability_z,0.45,0.9999999999999996,0.4499999999999996,-0.7662294960749053,-0.3448032732337074,-0.3448032732337072
2026-06-11,turnover_buffer_inverse_volatility_risk_scaled,quality,quality_composite_z,0.45,0.9999999999999996,0.4499999999999996,-0.6956070267134403,-0.31302316202104813,-0.3130231620210478
2026-06-11,turnover_buffer_inverse_volatility_risk_scaled,roa,roa_z,0.45,0.9999999999999996,0.4499999999999996,-0.7222572089223694,-0.3250157440150663,-0.32501574401506594
2026-06-11,turnover_buffer_inverse_volatility_risk_scaled,roe,roe_z,0.45,0.7583501464002875,0.34125756588012934,-0.5106600527320275,-0.22979702372941238,-0.1742666065875501
2026-06-11,turnover_buffer_inverse_volatility_risk_scaled,size,log_market_cap_z,0.45,0.6956669241617545,0.3130501158727893,-0.2866195116933614,-0.12897878026201265,-0.08972627134700903
2026-06-11,turnover_buffer_inverse_volatility_risk_scaled,value,value_composite_z,0.45,0.6956669241617545,0.3130501158727893,-0.23022406672377846,-0.10360083002570031,-0.0720716707645837
