factor,overall_rows,available_rows,overall_coverage,median_names_per_date,minimum_names_per_date,latest_names,latest_date
market_cap,135022,114673,0.8492912266149221,415.0,390,433,2026-06-11
log_market_cap,135022,114673,0.8492912266149221,415.0,390,433,2026-06-11
book_to_market,135022,101073,0.7485669002088549,362.0,344,386,2026-06-11
earnings_yield,135022,100339,0.7431307490631156,361.0,329,394,2026-06-11
roa,135022,114959,0.8514093999496378,418.0,367,451,2026-06-11
roe,135022,106566,0.7892491593962465,383.0,344,421,2026-06-11
operating_profitability,135022,102490,0.7590614862763105,372.0,330,399,2026-06-11
gross_profitability,135022,57335,0.42463450400675445,208.0,185,225,2026-06-11
leverage,135022,95577,0.70786242242005,348.0,299,372,2026-06-11
log_market_cap_z,135022,114673,0.8492912266149221,415.0,390,433,2026-06-11
book_to_market_z,135022,101073,0.7485669002088549,362.0,344,386,2026-06-11
earnings_yield_z,135022,100339,0.7431307490631156,361.0,329,394,2026-06-11
roa_z,135022,114959,0.8514093999496378,418.0,367,451,2026-06-11
roe_z,135022,106566,0.7892491593962465,383.0,344,421,2026-06-11
operating_profitability_z,135022,102490,0.7590614862763105,372.0,330,399,2026-06-11
gross_profitability_z,135022,57335,0.42463450400675445,208.0,185,225,2026-06-11
leverage_z,135022,95577,0.70786242242005,348.0,299,372,2026-06-11
value_composite_z,135022,108511,0.8036542193124083,392.0,364,413,2026-06-11
quality_composite_z,135022,117439,0.869776777117803,427.0,380,457,2026-06-11
