ticker,sec_mapping_status,fetch_status,cik,error
MU,mapped,pass,723125.0,
NVDA,mapped,pass,1045810.0,
TSLA,mapped,pass,1318605.0,
AMD,mapped,pass,2488.0,
INTC,mapped,pass,50863.0,
AAPL,mapped,pass,320193.0,
MSFT,mapped,pass,789019.0,
AMZN,mapped,pass,1018724.0,
GOOGL,mapped,pass,1652044.0,
META,mapped,pass,1326801.0,
AVGO,mapped,pass,1730168.0,
GOOG,mapped,pass,1652044.0,
MRVL,mapped,pass,1835632.0,
TSM,mapped,pass,1046179.0,
PLTR,mapped,pass,1321655.0,
ORCL,mapped,pass,1341439.0,
LITE,mapped,pass,1633978.0,
QCOM,mapped,pass,804328.0,
AMAT,mapped,pass,6951.0,
WDC,mapped,pass,106040.0,
LLY,mapped,pass,59478.0,
STX,mapped,pass,1137789.0,
LRCX,mapped,pass,707549.0,
BE,mapped,pass,1664703.0,
ASML,mapped,pass,937966.0,
MSTR,mapped,pass,1050446.0,
GEV,mapped,pass,1996810.0,
CSCO,mapped,pass,858877.0,
JPM,mapped,pass,19617.0,
DELL,mapped,pass,1571996.0,
RKLB,mapped,pass,1819994.0,
HOOD,mapped,pass,1783879.0,
NOW,mapped,pass,1373715.0,
BRK.B,mapped,pass,1067983.0,
WMT,mapped,pass,104169.0,
CAT,mapped,pass,18230.0,
APP,mapped,pass,1751008.0,
V,mapped,pass,1403161.0,
TXN,mapped,pass,97476.0,
XOM,mapped,pass,2115436.0,
CRM,mapped,pass,1108524.0,
GLW,mapped,pass,24741.0,
KLAC,mapped,pass,319201.0,
IREN,mapped,pass,1878848.0,
GS,mapped,pass,886982.0,
COST,mapped,pass,909832.0,
COHR,mapped,pass,820318.0,
PANW,mapped,pass,1327567.0,
MA,mapped,pass,1141391.0,
IBM,mapped,pass,51143.0,
VRT,mapped,pass,1674101.0,
AAOI,mapped,pass,1158114.0,
JNJ,mapped,pass,200406.0,
ADI,mapped,pass,6281.0,
ALAB,mapped,pass,1736297.0,
BAC,mapped,pass,70858.0,
CRWD,mapped,pass,1535527.0,
CRDO,mapped,pass,1807794.0,
ASTS,mapped,pass,1780312.0,
CVX,mapped,pass,93410.0,
GE,mapped,pass,40545.0,
IONQ,mapped,pass,1824920.0,
COIN,mapped,pass,1679788.0,
C,mapped,pass,831001.0,
HD,mapped,pass,354950.0,
BA,mapped,pass,12927.0,
ANET,mapped,pass,1596532.0,
SMCI,mapped,pass,1375365.0,
APH,mapped,pass,820313.0,
TER,mapped,pass,97210.0,
INTU,mapped,pass,896878.0,
ABBV,mapped,pass,1551152.0,
ON,mapped,pass,1097864.0,
PG,mapped,pass,80424.0,
SOFI,mapped,pass,1818874.0,
UBER,mapped,pass,1543151.0,
ADBE,mapped,pass,796343.0,
SNOW,mapped,pass,1640147.0,
