liquidity_tier,feature,model_years,average_importance,median_importance,minimum_importance,maximum_importance,importance_rank_within_tier
tier_1_top500,volatility_20d,6,0.21052990419364792,0.21231292681694514,0.1671284565905268,0.2531490631521211,1
tier_1_top500,momentum_5d,6,0.16950911160648632,0.16882781381486184,0.1289395247387773,0.2140616223129334,2
tier_1_top500,relative_strength,6,0.15795368653893774,0.15438540372617776,0.1007096019852631,0.2127585523193661,3
tier_1_top500,momentum_20d,6,0.11858212026564464,0.10713665575826159,0.1012888380200464,0.1477793110456309,4
tier_1_top500,price_vs_ma50,6,0.1139145830993823,0.11103045340597145,0.104645542997443,0.1320736413290352,5
tier_1_top500,rsi_14d,6,0.07420134602457172,0.07364337411319036,0.0604447067364556,0.0872573600647308,6
tier_1_top500,price_vs_ma20,6,0.058082291074639414,0.0500508947831005,0.0344192961284276,0.096885015929151,7
tier_1_top500,return_1d,6,0.057049143920203334,0.05646550935385815,0.0465070684195355,0.0679655692053544,8
tier_1_top500,high_low_spread,6,0.01923893107472525,0.01793965201362465,0.0092681292836664,0.0351971355340249,9
tier_1_top500,volume_change_1d,6,0.010557129403024683,0.00997101080176685,0.0075266594526386,0.0141875928886014,10
tier_1_top500,open_close_spread,6,0.010381752798736134,0.0101246945185773,0.0053782752873953,0.0141539770962823,11
tier_2_501_1000,momentum_5d,6,0.1840622973180379,0.18543667880445092,0.1541456628821257,0.2082181962029978,1
tier_2_501_1000,volatility_20d,6,0.17048947698152342,0.17195862808299078,0.141013999614105,0.1996621110547074,2
tier_2_501_1000,price_vs_ma50,6,0.15621815990723398,0.1557048960579443,0.1207923201076632,0.1860621896805538,3
tier_2_501_1000,momentum_20d,6,0.1293658650449716,0.12953346176282426,0.0940062476428389,0.1686883697828797,4
tier_2_501_1000,relative_strength,6,0.12833686495504606,0.1290768250184567,0.1010088340724457,0.1423262837431098,5
tier_2_501_1000,rsi_14d,6,0.08483539997319316,0.08585234802589145,0.060786773409259,0.0992720413234541,6
tier_2_501_1000,price_vs_ma20,6,0.06001220842565339,0.05624060648491945,0.030773751241427,0.0849690489652587,7
tier_2_501_1000,return_1d,6,0.047608421264205836,0.0490697675840424,0.0374545175938487,0.0534338767452126,8
tier_2_501_1000,high_low_spread,6,0.02178735943168897,0.02095632380764205,0.0112313708708761,0.0340400230111362,9
tier_2_501_1000,open_close_spread,6,0.008946608518409784,0.00870907776312075,0.0057880700351534,0.0120581762593545,10
tier_2_501_1000,volume_change_1d,6,0.008337338180035467,0.0086372583401127,0.0053389278178305,0.0102891663470294,11
tier_3_1001_2000,momentum_5d,6,0.22201998616296484,0.2193730539819042,0.2017987572203668,0.2460450988095419,1
tier_3_1001_2000,volatility_20d,6,0.18564369640382328,0.18599401771808377,0.1641653279515938,0.2072428823998914,2
tier_3_1001_2000,relative_strength,6,0.14995745802473706,0.14763218597998617,0.1282092453060823,0.1782731231588429,3
tier_3_1001_2000,price_vs_ma50,6,0.1275347849294498,0.1229610176598463,0.1099213896908742,0.1508289810044343,4
tier_3_1001_2000,momentum_20d,6,0.11613978309243213,0.1221374949120722,0.0907230188820562,0.1375114650175848,5
tier_3_1001_2000,rsi_14d,6,0.07321400861614308,0.0710585363366423,0.0655011502179792,0.0836242851448069,6
tier_3_1001_2000,price_vs_ma20,6,0.049470565156451464,0.0453720222173357,0.0295392599361472,0.0783294597664513,7
tier_3_1001_2000,return_1d,6,0.03096398848255108,0.029209607969631547,0.0242804757863293,0.0381315419757332,8
tier_3_1001_2000,high_low_spread,6,0.0261090606483747,0.0276920739699314,0.0119564843824474,0.035483448240253,9
tier_3_1001_2000,volume_change_1d,6,0.010179136860209251,0.0071424218773927,0.0052274825071294,0.0208267829323257,10
tier_3_1001_2000,open_close_spread,6,0.00876753162286285,0.0083166756050207,0.0061571476525196,0.0125595836130771,11
