test_year,liquidity_tier,minimum_liquidity_rank,maximum_liquidity_rank,training_rows,training_tickers,training_dates,test_rows,test_tickers,test_dates
2021,tier_1_top500,1,500,349311,500,702,126000,500,252
2021,tier_2_501_1000,501,1000,348754,500,702,126000,500,252
2021,tier_3_1001_2000,1001,1579,400782,579,702,145897,579,252
2022,tier_1_top500,1,500,467239,500,954,125500,500,251
2022,tier_2_501_1000,501,1000,467436,500,954,125500,500,251
2022,tier_3_1001_2000,1001,1753,695717,753,954,189002,753,251
2023,tier_1_top500,1,500,589794,500,1205,124999,500,250
2023,tier_2_501_1000,501,1000,583313,500,1205,125000,500,250
2023,tier_3_1001_2000,1001,1747,853713,747,1205,186749,747,250
2024,tier_1_top500,1,500,703056,500,1455,126000,500,252
2024,tier_2_501_1000,501,1000,682270,500,1455,125999,500,252
2024,tier_3_1001_2000,1001,1866,1153669,866,1455,218231,866,252
2025,tier_1_top500,1,500,815194,500,1707,124999,500,250
2025,tier_2_501_1000,501,1000,806568,500,1707,125000,500,250
2025,tier_3_1001_2000,1001,2000,1556820,1000,1707,249999,1000,250
2026,tier_1_top500,1,500,925092,500,1957,56000,500,112
2026,tier_2_501_1000,501,1000,925439,500,1957,56000,500,112
2026,tier_3_1001_2000,1001,2000,1771549,1000,1957,111999,1000,112
