period,liquidity_tier,rebalances,average_names,average_spearman_ic,median_spearman_ic,positive_ic_rate,average_top_10_5d_return,average_bottom_10_5d_return,average_long_short_5d_return,average_universe_5d_return,average_raw_score_std
overall,tier_1_top500,276,500.0,-0.005570464302719979,0.00904314166048047,0.5036231884057971,0.0028127688357966357,0.0022466841656034724,0.000566084670193164,0.0027691742313265062,0.003613881624307303
overall,tier_2_501_1000,276,500.0,-0.01721301570284587,-0.01699317527586249,0.47101449275362317,0.008176637032796938,0.0018703413647470663,0.00630629566804987,0.0024288353489129023,0.003629200896180085
overall,tier_3_1001_2000,276,805.963768115942,-0.024024943851237487,-0.029915347842839904,0.42391304347826086,0.00358361610084224,0.005214522054359045,-0.0016309059535168043,0.00252419090846565,0.0035563988650914235
2021,tier_1_top500,51,500.0,-0.036133049513276776,-0.02568030951310059,0.49019607843137253,-0.0056007695594912634,0.007170533248778955,-0.01277130280827022,0.004592622875961793,0.004699363931824224
2021,tier_2_501_1000,51,500.0,-0.04885244774532508,-0.048724706342521275,0.43137254901960786,0.010046130634469299,0.008276955234102403,0.0017691754003668957,0.004887704408980852,0.004429186509290768
2021,tier_3_1001_2000,51,578.9803921568628,-0.052280179116163124,-0.04543299323982372,0.3333333333333333,-0.0012054944132265369,0.010537797699645517,-0.011743292112872053,0.0046858820578584495,0.004157748692071847
2022,tier_1_top500,51,500.0,-0.06031019589800763,-0.05554973151517305,0.4117647058823529,-0.012222677937172832,-0.00772517757743133,-0.004497500359741505,-0.0026566803683827763,0.006362876161086226
2022,tier_2_501_1000,51,500.0,-0.04891371322076877,-0.08122194455397738,0.39215686274509803,0.0019116758932361732,-0.009117013177166431,0.011028689070402607,-0.0028063235906044827,0.00522221422551582
2022,tier_3_1001_2000,51,753.0,-0.04070813899048504,-0.07764952104197409,0.39215686274509803,-0.006456071700349665,-0.00833983668172195,0.0018837649813722892,-0.002980685175107413,0.00462677119833116
2023,tier_1_top500,50,500.0,0.028397719802020344,0.022023961199703804,0.54,0.008855627441293791,0.004474557874906201,0.004381069566387589,0.004028399609409395,0.0025235624530813234
2023,tier_2_501_1000,50,500.0,0.005478683402033156,0.0032053578274947392,0.54,0.007221319821857605,0.0029772650156270476,0.004244054806230556,0.0037577090728818413,0.002791194424804522
2023,tier_3_1001_2000,50,747.0,-0.00479714911535936,-0.023811035836487623,0.44,0.0028680221448001042,0.0059812574800325955,-0.0031132353352324904,0.0036045463128778015,0.003364115562880592
2024,tier_1_top500,51,500.0,0.008988010019479957,-0.014694930114827413,0.47058823529411764,0.007190559429937263,-0.005259516937438801,0.012450076367376061,0.003379559500314309,0.0024452625646591516
2024,tier_2_501_1000,51,500.0,-0.02178122788774211,-0.04564934870861941,0.43137254901960786,0.0014752624366520697,0.0005419644010225327,0.0009332980356295392,0.0024366476799040034,0.0028248080183916535
2024,tier_3_1001_2000,51,866.0,-0.04044056666844896,-0.05977346216623531,0.3333333333333333,0.006793897128582659,0.012411530500691026,-0.005617633372108363,0.0028367381890900835,0.0032670504273339352
2025,tier_1_top500,50,500.0,0.039967632840794916,0.07662951183562382,0.62,0.007414596209868932,0.0061714866082298765,0.0012431096016390566,0.003923419505607616,0.002522954250378169
2025,tier_2_501_1000,50,500.0,0.02050571265964551,0.052907763791012544,0.56,0.008425319330926901,0.0037870804280170705,0.004638238902909832,0.0033119114175100173,0.0032442405956316423
2025,tier_3_1001_2000,50,999.98,0.004212016965371432,0.01883704153398196,0.58,0.014007487016646874,0.0013535869298323055,0.012653900086814572,0.002940976600995013,0.002824688192246505
2026,tier_1_top500,23,500.0,-0.02154342498736736,-0.0032999175164621624,0.4782608695652174,0.02196044815325233,0.01670890565740889,0.005251542495843445,0.004156979551856767,0.002444472069556143
2026,tier_2_501_1000,23,500.0,0.002039334542445222,-0.007588974538033543,0.4782608695652174,0.03431884114045627,0.008399987614439166,0.025918853526017107,0.0037590468855682197,0.002765263039599341
2026,tier_3_1001_2000,23,1000.0,0.008836749047295825,0.03676669640659936,0.5217391304347826,0.008241465391077382,0.014233991263500317,-0.005992525872422935,0.0059896459295209325,0.0024998179480127903
