period,liquidity_tier,rebalances,average_top10_count,average_top10_share,minimum_top10_count,maximum_top10_count
overall,tier_1_top500,276,2.891304347826087,0.2891304347826087,2,3
overall,tier_2_501_1000,276,2.927536231884058,0.2927536231884058,2,3
overall,tier_3_1001_2000,276,4.181159420289855,0.41811594202898555,4,5
2021,tier_1_top500,51,3.0,0.3,3,3
2021,tier_2_501_1000,51,3.0,0.3,3,3
2021,tier_3_1001_2000,51,4.0,0.4,4,4
2022,tier_1_top500,51,3.0,0.3,3,3
2022,tier_2_501_1000,51,3.0,0.3,3,3
2022,tier_3_1001_2000,51,4.0,0.4,4,4
2023,tier_1_top500,50,3.0,0.3,3,3
2023,tier_2_501_1000,50,3.0,0.3,3,3
2023,tier_3_1001_2000,50,4.0,0.4,4,4
2024,tier_1_top500,51,3.0,0.3,3,3
2024,tier_2_501_1000,51,3.0,0.3,3,3
2024,tier_3_1001_2000,51,4.0,0.4,4,4
2025,tier_1_top500,50,2.62,0.262,2,3
2025,tier_2_501_1000,50,2.7,0.27,2,3
2025,tier_3_1001_2000,50,4.68,0.46799999999999997,4,5
2026,tier_1_top500,23,2.5217391304347827,0.25217391304347825,2,3
2026,tier_2_501_1000,23,2.782608695652174,0.2782608695652174,2,3
2026,tier_3_1001_2000,23,4.695652173913044,0.46956521739130436,4,5
