risk_anchor,exposure_policy,signal_blend,years,years_beating_anchor_sharpe,years_beating_anchor_return,median_sharpe_delta_vs_anchor,median_return_delta_vs_anchor
shrinkage_max_diversification,legacy_risk_scaled,0.0,6,0,0,0.0,0.0
shrinkage_max_diversification,legacy_risk_scaled,0.25,6,3,3,-0.003722644454595192,0.013557176095194245
shrinkage_max_diversification,legacy_risk_scaled,0.5,6,3,3,-0.005819681954692346,0.02706309586491512
shrinkage_max_diversification,legacy_risk_scaled,0.75,6,3,3,-0.00676939691569417,0.04034854875658017
shrinkage_max_diversification,regime_dd_vol_target_25pct_max_1p25,0.0,6,0,0,0.0,0.0
shrinkage_max_diversification,regime_dd_vol_target_25pct_max_1p25,0.25,6,4,4,0.012976131100574585,0.020046444908026984
shrinkage_max_diversification,regime_dd_vol_target_25pct_max_1p25,0.5,6,4,4,0.02711160752597897,0.04390717451742232
shrinkage_max_diversification,regime_dd_vol_target_25pct_max_1p25,0.75,6,4,4,0.038991465306802704,0.06735874473104775
shrinkage_max_diversification,regime_dd_vol_target_30pct_max_1p25,0.0,6,0,0,0.0,0.0
shrinkage_max_diversification,regime_dd_vol_target_30pct_max_1p25,0.25,6,3,3,0.0041804335482855115,0.01513166157423046
shrinkage_max_diversification,regime_dd_vol_target_30pct_max_1p25,0.5,6,3,3,0.009136243047474736,0.02936197413658098
shrinkage_max_diversification,regime_dd_vol_target_30pct_max_1p25,0.75,6,3,3,0.018043866842745414,0.049092800896233635
shrinkage_max_diversification,regime_dd_vol_target_35pct_max_1p25,0.0,6,0,0,0.0,0.0
shrinkage_max_diversification,regime_dd_vol_target_35pct_max_1p25,0.25,6,4,3,0.007491692880282355,0.015676472343755465
shrinkage_max_diversification,regime_dd_vol_target_35pct_max_1p25,0.5,6,4,4,0.020072168190113607,0.03098174317749558
shrinkage_max_diversification,regime_dd_vol_target_35pct_max_1p25,0.75,6,3,3,-0.0049306899681259425,0.0368351760570369
shrinkage_max_diversification,static_1x,0.0,6,0,0,0.0,0.0
shrinkage_max_diversification,static_1x,0.25,6,4,3,0.007966268694057518,0.047989137042624586
shrinkage_max_diversification,static_1x,0.5,6,4,3,0.016004782543278515,0.09576813338287576
shrinkage_max_diversification,static_1x,0.75,6,4,3,0.023683076828466515,0.1426572702646452
shrinkage_max_diversification,vol_target_25pct_max_1p25,0.0,6,0,0,0.0,0.0
shrinkage_max_diversification,vol_target_25pct_max_1p25,0.25,6,4,4,0.01003579054922743,0.01977295129223855
shrinkage_max_diversification,vol_target_25pct_max_1p25,0.5,6,4,4,0.020318558839535678,0.043370215327060424
shrinkage_max_diversification,vol_target_25pct_max_1p25,0.75,6,4,4,0.027581869506789203,0.06646497675840513
