feature,importance,model
relative_strength,0.15922319743192417,baseline_technical_only
price_vs_ma50,0.1543055171452665,baseline_technical_only
momentum_5d,0.15172578099574166,baseline_technical_only
volatility_20d,0.1343278433923035,baseline_technical_only
price_vs_ma20,0.12553146090650238,baseline_technical_only
momentum_20d,0.10660548679753355,baseline_technical_only
rsi_14d,0.10246725058491327,baseline_technical_only
return_1d,0.06581346274581504,baseline_technical_only
surprise_num,0.11384840337199463,technical_plus_macro_llm
macro_signal_score,0.09934920801104177,technical_plus_macro_llm
price_vs_ma50,0.08855720805984388,technical_plus_macro_llm
macro_tone_score,0.07951957130186252,technical_plus_macro_llm
momentum_5d,0.07474159383280657,technical_plus_macro_llm
momentum_20d,0.07002100741808978,technical_plus_macro_llm
volatility_20d,0.06642794806162504,technical_plus_macro_llm
price_vs_ma20,0.06542481425758716,technical_plus_macro_llm
relative_strength,0.06484084550645294,technical_plus_macro_llm
rsi_14d,0.052530241828283177,technical_plus_macro_llm
liquidity_num,0.04998465642660926,technical_plus_macro_llm
five_day_market_bias_score,0.04715591790728244,technical_plus_macro_llm
return_1d,0.032767500482838025,technical_plus_macro_llm
reaction_quality_num,0.02299917269540778,technical_plus_macro_llm
growth_num,0.022259158744012,technical_plus_macro_llm
five_day_bias_num,0.021872675663047753,technical_plus_macro_llm
macro_confidence,0.017098969850703277,technical_plus_macro_llm
rate_policy_num,0.006243803187925441,technical_plus_macro_llm
inflation_num,0.004357303392586675,technical_plus_macro_llm
macro_tone_num,0.0,technical_plus_macro_llm
