candidate,group,source_file,scope,num_periods,weak_period_count,weak_periods,avg_gross_top10_5d,avg_net_top10_5d,avg_universe_5d,avg_net_excess_5d,avg_bottom10_5d,avg_long_short_5d,avg_spearman_ic,avg_turnover,avg_transaction_cost,net_hit_rate,excess_hit_rate,annualized_net_return,net_sharpe,excess_sharpe,max_drawdown,accuracy,auc,avg_top5_5d_return,excess_top5_return,strategy_score,rank
price_vs_ma50_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9,9,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",0.0042564138491711055,0.0035177346038880865,0.0035161651204483556,1.5694834397302097e-06,0.005216487360113558,-0.0009600735109424534,-0.010685310491125833,0.7386792452830189,0.0007386792452830188,0.5825471698113207,0.5,0.1601447930529054,0.7441335689717277,0.00042058455932623897,-0.3086417883814686,,,,,-2.915122768096485,1
macro_signal_score_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9,9,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",0.002345030146377661,0.0023393697690191704,0.0035177550032210983,-0.0011783852342019284,0.002134271131671184,0.00021075901470647723,0.0,0.005660377358490565,5.660377358490565e-06,0.5778301886792453,0.46462264150943394,0.10774632323045252,0.6739681186449992,-0.6808261989221603,-0.26685658977942694,,,,,-3.5592437596044433,2
macro_tone_score_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9,9,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",0.002345030146377661,0.0023393697690191704,0.0035177550032210983,-0.0011783852342019284,0.002134271131671184,0.00021075901470647723,0.0,0.005660377358490565,5.660377358490565e-06,0.5778301886792453,0.46462264150943394,0.10774632323045252,0.6739681186449992,-0.6808261989221603,-0.26685658977942694,,,,,-3.5592437596044433,3
surprise_num_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9,9,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",0.002345030146377661,0.0023393697690191704,0.0035177550032210983,-0.0011783852342019284,0.002134271131671184,0.00021075901470647723,0.0,0.005660377358490565,5.660377358490565e-06,0.5778301886792453,0.46462264150943394,0.10774632323045252,0.6739681186449992,-0.6808261989221603,-0.26685658977942694,,,,,-3.5592437596044433,4
liquidity_num_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9,9,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",0.002345030146377661,0.0023393697690191704,0.0035177550032210983,-0.0011783852342019284,0.002134271131671184,0.00021075901470647723,0.0,0.005660377358490565,5.660377358490565e-06,0.5778301886792453,0.46462264150943394,0.10774632323045252,0.6739681186449992,-0.6808261989221603,-0.26685658977942694,,,,,-3.5592437596044433,5
five_day_market_bias_score_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9,9,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",0.002345030146377661,0.0023393697690191704,0.0035177550032210983,-0.0011783852342019284,0.002134271131671184,0.00021075901470647723,0.0,0.005660377358490565,5.660377358490565e-06,0.5778301886792453,0.46462264150943394,0.10774632323045252,0.6739681186449992,-0.6808261989221603,-0.26685658977942694,,,,,-3.5592437596044433,6
growth_num_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9,9,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",0.002345030146377661,0.0023393697690191704,0.0035177550032210983,-0.0011783852342019284,0.002134271131671184,0.00021075901470647723,0.0,0.005660377358490565,5.660377358490565e-06,0.5778301886792453,0.46462264150943394,0.10774632323045252,0.6739681186449992,-0.6808261989221603,-0.26685658977942694,,,,,-3.5592437596044433,7
rsi_14d_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9,9,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",0.003536285769253756,0.002306097090008473,0.00352584302283327,-0.0012197459328247967,0.004355265079248045,-0.0008189793099942884,-0.009278021055609124,1.230188679245283,0.0012301886792452832,0.5825471698113207,0.47877358490566035,0.10422884509765296,0.6331827577085923,-0.4004694413747952,-0.2759774008218868,,,,,-4.146803583361816,8
momentum_20d_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9,9,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",0.0033066581344907676,0.002354771342037937,0.0035218919488330877,-0.0011671206067951508,0.00414774771982903,-0.0008410895853382622,-0.007958747473862904,0.9518867924528301,0.0009518867924528301,0.5566037735849056,0.49764150943396224,0.09369161743034171,0.4932056678223069,-0.3159948742387645,-0.42837860743945455,,,,,-4.161120329700099,9
relative_strength_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9,9,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",0.0033066581344907676,0.002354771342037937,0.0035218919488330877,-0.0011671206067951508,0.00414774771982903,-0.0008410895853382622,-0.007958747473862904,0.9518867924528301,0.0009518867924528301,0.5566037735849056,0.49764150943396224,0.09369161743034171,0.4932056678223069,-0.3159948742387645,-0.42837860743945455,,,,,-4.161120329700099,10
