candidate,group,source_file,scope,num_periods,weak_period_count,weak_periods,avg_gross_top10_5d,avg_net_top10_5d,avg_universe_5d,avg_net_excess_5d,avg_bottom10_5d,avg_long_short_5d,avg_spearman_ic,avg_turnover,avg_transaction_cost,net_hit_rate,excess_hit_rate,annualized_net_return,net_sharpe,excess_sharpe,max_drawdown,accuracy,auc,avg_top5_5d_return,excess_top5_return,strategy_score,rank,agent_score,rank_in_group
technical_plus_macro_llm,macro_holdout,results/macro_model_comparison.csv,single_train_test_top5,,,,,,0.00528,,,,,,,,,,,,,0.5408,0.51,0.00646,0.00118,,,1.3616000000000001,1
baseline_technical_only,macro_holdout,results/macro_model_comparison.csv,single_train_test_top5,,,,,,0.00528,,,,,,,,,,,,,0.5508,0.5082,0.00615,0.00087,,,1.0535999999999999,2
price_vs_ma50_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9.0,9.0,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",0.0039564537414512,0.0032102273263569,0.0033784803238972,-0.0001682529975403,0.0054485776537794,-0.0014921239123281,-0.0098796080736552,0.7462264150943396,0.0007462264150943,0.5825471698113207,0.4976415094339622,0.1392622192246175,0.6495252087845761,-0.0425879915137679,-0.372561350620427,,,,,-3.3950861867511724,1.0,-3.263111034440902,1
momentum_20d_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9.0,9.0,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",0.0033729953799359,0.0024097878327661,0.003383556337624,-0.0009737685048579,0.0043561826994929,-0.0009831873195569,-0.0071300912074656,0.9632075471698112,0.0009632075471698,0.5613207547169812,0.4787735849056603,0.0916783212116012,0.4687718948456204,-0.2440820801036188,-0.4405292296433147,,,,,-4.021071022074054,2.0,-3.786663076711006,2
relative_strength_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9.0,9.0,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",0.0033729953799359,0.0024097878327661,0.003383556337624,-0.0009737685048579,0.0043561826994929,-0.0009831873195569,-0.0071300912074656,0.9632075471698112,0.0009632075471698,0.5613207547169812,0.4787735849056603,0.0916783212116012,0.4687718948456204,-0.2440820801036188,-0.4405292296433147,,,,,-4.021071022074054,3.0,-3.786663076711006,3
rsi_14d_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9.0,9.0,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",0.0033797595840451,0.0021274010934791,0.0033870943023056,-0.0012596932088265,0.0042033729206529,-0.0008236133366078,-0.0091834559856609,1.2523584905660377,0.001252358490566,0.5731132075471698,0.4858490566037736,0.0933163195886943,0.5689446779766139,-0.382643217010349,-0.2771233639978893,,,,,-4.190662455440913,4.0,-4.013334436987009,4
technical_combo,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9.0,9.0,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",0.0028976941143495,0.0017160903407646,0.0033797125168607,-0.001663622176096,0.0047124735164441,-0.0018147794020945,-0.0141456727406204,1.1816037735849056,0.0011816037735849,0.5731132075471698,0.4669811320754717,0.0610927923628994,0.3724506510302894,-0.4373603583238745,-0.4359299584065468,,,,,-5.252528608230785,5.0,-4.9624686045494535,5
price_vs_ma20_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9.0,9.0,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",0.0028594624831275,0.0016759719170897,0.0033842634868883,-0.0017082915697985,0.00538383308834,-0.0025243706052125,-0.0184919040683417,1.183490566037736,0.0011834905660377,0.5683962264150944,0.4646226415094339,0.0530869992956757,0.3317723070741312,-0.4295322415371403,-0.4635914372214594,,,,,-5.7113974613758165,6.0,-5.405395913088167,6
momentum_5d_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9.0,8.0,"2018, 2019, 2020, 2021, 2022, 2024, 2025, 2026",0.0027085634465406,0.000945827597484,0.0033797125168607,-0.0024338849193766,0.0071648484680399,-0.0044562850214992,-0.0256321022117427,1.762735849056604,0.0017627358490566,0.5400943396226415,0.4575471698113207,0.0107506660923073,0.1759788822349747,-0.5884133514386856,-0.486571722687273,,,,,-7.29113976322353,7.0,-6.9183484522436265,7
low_volatility_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9.0,8.0,"2018, 2019, 2020, 2021, 2023, 2024, 2025, 2026",0.0014001796749604,0.0006813117504321,0.0033842634868883,-0.0027029517364561,0.0081285137032724,-0.006728334028312,-0.014228107195031,0.7188679245283021,0.0007188679245283,0.5731132075471698,0.4221698113207547,0.0249654005804922,0.2481210823364281,-0.8671747179610563,-0.2437371578801471,,,,,-8.523249972759173,8.0,-8.20939982256241,8
current_walkforward_rank_model,walkforward_rank,results/walkforward_rank_backtest_summary.csv,top10_walkforward,6.0,4.0,"2021, 2022, 2024, 2026",0.0057489062247421,0.0046662975290899,0.0032206925294704,0.0014456049996195,0.0038615486070645,0.0018873576176775,0.0068833980452429,1.082608695652174,0.0010826086956521,0.5652173913043478,0.5108695652173914,0.2022548862013262,0.7388699754621311,0.3623946317566217,-0.5022489201869706,,,,,,,1.4581177889106796,1
