area,metric,value
walkforward_overall,avg_net_top10_5d,0.0046662975290899
walkforward_overall,avg_universe_5d,0.0032206925294704
walkforward_overall,avg_net_excess_5d,0.0014456049996195
walkforward_overall,avg_long_short_5d,0.0018873576176775
walkforward_overall,avg_spearman_ic,0.0068833980452429
walkforward_overall,avg_turnover,1.082608695652174
walkforward_overall,avg_transaction_cost,0.0010826086956521
walkforward_overall,net_hit_rate,0.5652173913043478
walkforward_overall,excess_hit_rate,0.5108695652173914
walkforward_overall,annualized_net_return,0.2022548862013262
walkforward_overall,net_sharpe,0.7388699754621311
walkforward_overall,excess_sharpe,0.3623946317566217
walkforward_overall,max_drawdown,-0.5022489201869706
yearly_2021,avg_net_excess_5d,-0.0035113383682636
yearly_2021,avg_spearman_ic,-0.014626258657012
yearly_2021,avg_long_short_5d,-0.0045228547511314
yearly_2021,max_drawdown,-0.16259799495833
yearly_2021,avg_turnover,1.1215686274509804
yearly_2021,flags,"negative_net_excess,negative_spearman_ic,negative_long_short,high_turnover"
yearly_2022,avg_net_excess_5d,-0.0030266658480182
yearly_2022,avg_spearman_ic,-0.0295221717333214
yearly_2022,avg_long_short_5d,-0.0012698797868144
yearly_2022,max_drawdown,-0.3643245881945453
yearly_2022,avg_turnover,0.9333333333333332
yearly_2022,flags,"negative_net_excess,negative_spearman_ic,negative_long_short,drawdown_worse_than_20pct"
yearly_2023,avg_net_excess_5d,0.006833000463991
yearly_2023,avg_spearman_ic,0.0247558931532961
yearly_2023,avg_long_short_5d,0.0075968826124384
yearly_2023,max_drawdown,-0.1491043832363272
yearly_2023,avg_turnover,1.148
yearly_2023,flags,high_turnover
yearly_2024,avg_net_excess_5d,-0.0003166324512301
yearly_2024,avg_spearman_ic,0.0024087264891724
yearly_2024,avg_long_short_5d,0.0018810954727132
yearly_2024,max_drawdown,-0.0959242827836279
yearly_2024,avg_turnover,1.0196078431372553
yearly_2024,flags,"negative_net_excess,high_turnover"
yearly_2025,avg_net_excess_5d,0.0063378456891798
yearly_2025,avg_spearman_ic,0.0617477971564563
yearly_2025,avg_long_short_5d,0.0085853922811494
yearly_2025,max_drawdown,-0.2725912080934497
yearly_2025,avg_turnover,1.1840000000000002
yearly_2025,flags,"drawdown_worse_than_20pct,high_turnover"
yearly_2026,avg_net_excess_5d,0.0039143974904156
yearly_2026,avg_spearman_ic,-0.0128974676539723
yearly_2026,avg_long_short_5d,-0.0038569326031963
yearly_2026,max_drawdown,-0.0729799165326692
yearly_2026,avg_turnover,1.1043478260869566
yearly_2026,flags,"negative_spearman_ic,negative_long_short,high_turnover"
